eigenvalue_1,eigenvalue_2,diff,span_trees
9.392558435730681,8.083835291801275,1.3087231439294058,473193
9.406408825101668,8.018888704990125,1.3875201201115424,469131
9.387029678647517,8.029070530785367,1.3579591478621502,498908
9.3915536285718,8.051436730874055,1.3401168976977456,498232
9.388326574571307,8.072508935136359,1.3158176394349486,477548
9.430377168100183,8.008662078248117,1.421715089852066,470037
9.389986285259056,8.018707299375246,1.3712789858838104,477851
9.404806401926423,8.005947212892616,1.3988591890338071,494906
9.385826543737462,8.056018483362717,1.329808060374745,477067
9.388176873416006,8.037587210219202,1.3505896631968035,500107
