added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 1), (0, 7), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[6.79845031e+00 5.19376352e+00 3.53459807e+00 3.12165586e+00
 3.00000000e+00 2.38504702e+00 1.44786353e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.61176762e-01 3.39267394e-01
 2.32415849e-01 1.85761686e-01 2.86541871e-17]",3
"(0, 10, 1)","[(0, 1), (0, 10), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.80672703e+00  5.29213812e+00  3.72621435e+00  3.13827182e+00
  2.52220586e+00  2.35938444e+00  1.44756148e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.62178351e-01  4.25082866e-01
  3.22297070e-01  1.97938622e-01 -4.10942621e-16]",5
"(0, 4, 1)","[(0, 1), (0, 4), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.87342514e+00  5.19632254e+00  3.54404123e+00  3.14788408e+00
  2.81179496e+00  2.31705499e+00  1.41433437e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  8.82572207e-01  3.49731962e-01
  2.56159714e-01  2.06678815e-01 -1.22541616e-15]",4
"(0, 12, 1)","[(0, 1), (0, 12), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.81795021e+00  5.23407267e+00  3.60086303e+00  3.45079192e+00
  2.57639566e+00  2.22216161e+00  1.30627808e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.65216002e-01  4.60507250e-01
  3.37712541e-01  2.28051020e-01 -1.88428789e-17]",6
"(0, 6, 1)","[(0, 1), (0, 6), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.79845031e+00  5.19376352e+00  3.53459807e+00  3.12165586e+00
  3.00000000e+00  2.38504702e+00  1.44786353e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.61176762e-01  3.39267394e-01
  2.32415849e-01  1.85761686e-01 -1.07058889e-16]",3
"(0, 9, 1)","[(0, 1), (0, 9), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[6.80782336e+00 5.30485601e+00 4.07861238e+00 3.44469636e+00
 2.42409150e+00 1.82131973e+00 1.37954629e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.61351434e-01 4.08506669e-01
 3.39062280e-01 2.30133968e-01 2.33633956e-16]",5
"(0, 14, 1)","[(0, 1), (0, 14), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[6.80875450e+00 5.26918785e+00 3.57837685e+00 3.29002919e+00
 2.94374971e+00 1.85870365e+00 1.44218549e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.79594304e-01 5.81141722e-01
 2.48002297e-01 2.00274431e-01 4.92078327e-16]",5
"(0, 3, 1)","[(0, 1), (0, 3), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[6.90088270e+00 5.19446421e+00 3.93098102e+00 3.39137444e+00
 2.39829742e+00 2.30513412e+00 1.23338844e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.69896820e-01 3.44014433e-01
 2.99233686e-01 2.32332718e-01 9.04332763e-16]",4
"(0, 11, 1)","[(0, 1), (0, 11), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.89958237e+00  5.19407817e+00  3.77832239e+00  3.43835089e+00
  2.97874168e+00  1.56801911e+00  1.43724400e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.61177010e-01  4.86295578e-01
  2.53989291e-01  2.04199498e-01 -5.97521173e-16]",4
"(0, 5, 1)","[(0, 1), (0, 5), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[6.95440807e+00 5.24124986e+00 4.43375032e+00 3.15131290e+00
 2.40949026e+00 1.67146083e+00 1.44460010e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.61525407e-01 4.01376423e-01
 3.30171436e-01 2.00654398e-01 7.87730390e-16]",4
"(0, 8, 1)","[(0, 1), (0, 8), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.79845031e+00  5.19376352e+00  3.53459807e+00  3.12165586e+00
  3.00000000e+00  2.38504702e+00  1.44786353e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.61176762e-01  3.39267394e-01
  2.32415849e-01  1.85761686e-01 -7.41378096e-16]",3
"(0, 13, 1)","[(0, 1), (0, 13), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 6.80672703e+00  5.29213812e+00  3.72621435e+00  3.13827182e+00
  2.52220586e+00  2.35938444e+00  1.44756148e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.62178351e-01  4.25082866e-01
  3.22297070e-01  1.97938622e-01 -7.88402136e-16]",5
"(0, 2, 1)","[(0, 1), (0, 2), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.36388810e+00  5.64233252e+00  3.59091372e+00  3.17082543e+00
  2.49315806e+00  1.70885056e+00  1.41513973e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.78828085e-01  3.53764218e-01
  2.71016128e-01  2.11283454e-01 -8.27435007e-16]",3
"(1, 3, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 3), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.28074327e+00  5.93153491e+00  3.66857619e+00  3.22919322e+00
  2.39860827e+00  1.81346032e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.74880626e-01  3.46499257e-01
  3.24192368e-01  2.32311575e-01 -3.07391124e-16]",3
"(1, 11, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 11), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.28068228e+00  5.92338760e+00  3.60436571e+00  3.24294729e+00
  2.69564229e+00  1.44884772e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.65700579e-01  5.83332114e-01
  2.52136582e-01  2.02957833e-01 -8.52983884e-16]",3
"(1, 14, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 14), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.44997646e+00  5.56784209e+00  3.53461238e+00  3.13455432e+00
  2.73563364e+00  1.46634926e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.66550052e-01
  2.45981265e-01  1.98500539e-01 -1.63427879e-16]",4
"(1, 4, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 4), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[7.28046239e+00 5.81377797e+00 3.55395813e+00 3.14201292e+00
 2.45374361e+00 1.69883707e+00 1.24728633e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 3.49637891e-01
 2.54473987e-01 2.05809719e-01 6.70979277e-16]",3
"(1, 9, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[7.49053631e+00 5.57689173e+00 3.69941902e+00 3.46014714e+00
 2.42347520e+00 1.49486379e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.62353787e-01 5.25449613e-01
 3.38330024e-01 2.28533385e-01 2.43374068e-16]",4
"(1, 12, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 12), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.41742700e+00  5.63688386e+00  3.56626033e+00  3.19855075e+00
  2.40245838e+00  1.82479909e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  8.07376759e-01  5.83334158e-01
  3.36725788e-01  2.26183879e-01 -5.56141167e-16]",5
"(1, 5, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 5), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.28719216e+00  6.13202908e+00  3.83530291e+00  3.13383213e+00
  2.38833467e+00  1.44797209e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.61564619e-01  4.86166686e-01
  3.28259278e-01  1.99346378e-01 -8.44144552e-16]",3
"(1, 10, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 10), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[7.45881070e+00 5.54067280e+00 3.67003259e+00 3.14226377e+00
 2.40696317e+00 1.58415180e+00 1.43656233e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.67655655e-01 4.76876531e-01
 3.19515831e-01 1.96494819e-01 5.49481440e-16]",4
"(1, 13, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (1, 13), (2, 3), (2, 4), (2, 5), (2, 11), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.45881070e+00  5.54067280e+00  3.67003259e+00  3.14226377e+00
  2.40696317e+00  1.58415180e+00  1.43656233e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.67655655e-01  4.76876531e-01
  3.19515831e-01  1.96494819e-01 -4.23639464e-16]",4
"(2, 8, 1)","[(0, 1), (1, 2), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 11), (2, 8), (3, 9), (5, 10), (5, 13), (9, 12), (11, 14)]","[ 7.36388810e+00  5.64233252e+00  3.59091372e+00  3.17082543e+00
  2.49315806e+00  1.70885056e+00  1.41513973e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.78828085e-01  3.53764218e-01
  2.71016128e-01  2.11283454e-01 -9.09676800e-17]",3
