id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),number_of_spanning_trees
0,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[(0, 5), (0, 7), (0, 10), (0, 12), (0, 18), (0, 26), (0, 27), (1, 2), (1, 4), (1, 13), (1, 16), (1, 17), (1, 21), (1, 23), (1, 28), (2, 5), (2, 9), (2, 17), (2, 19), (2, 23), (2, 26), (3, 10), (3, 13), (3, 24), (3, 25), (4, 5), (4, 9), (4, 13), (4, 20), (4, 23), (4, 25), (4, 27), (5, 7), (5, 9), (5, 10), (5, 13), (5, 14), (5, 16), (5, 17), (5, 21), (5, 24), (5, 29), (6, 24), (6, 25), (6, 27), (6, 28), (7, 13), (7, 15), (7, 20), (7, 21), (7, 26), (8, 9), (8, 15), (8, 20), (8, 25), (8, 26), (9, 10), (9, 11), (9, 14), (9, 17), (9, 20), (9, 23), (10, 11), (10, 17), (10, 18), (10, 19), (10, 26), (10, 28), (10, 29), (11, 13), (11, 17), (11, 19), (11, 23), (11, 24), (11, 26), (12, 14), (12, 15), (12, 17), (12, 18), (12, 20), (12, 23), (12, 24), (12, 27), (12, 29), (13, 16), (13, 19), (13, 21), (13, 24), (13, 25), (14, 15), (14, 20), (14, 22), (14, 28), (15, 16), (15, 18), (15, 19), (15, 25), (15, 27), (16, 18), (16, 23), (16, 25), (16, 29), (17, 21), (17, 22), (17, 26), (17, 27), (17, 29), (18, 20), (18, 22), (18, 24), (18, 26), (19, 25), (19, 27), (19, 28), (20, 25), (20, 27), (21, 23), (21, 25), (21, 27), (21, 28), (22, 27), (22, 28), (23, 28), (24, 27), (24, 28), (25, 27), (27, 28)]","{(6, 19, 1), (8, 18, 1), (23, 26, 1), (13, 27, 1), (6, 26, 1), (0, 2, 1), (15, 26, 1), (5, 27, 1), (24, 25, 1), (0, 15, 1), (4, 12, 1), (22, 29, 1), (15, 22, 1), (5, 23, 1), (14, 29, 1), (4, 24, 1), (21, 29, 1), (3, 9, 1), (11, 20, 1), (4, 29, 1), (14, 17, 1), (11, 29, 1), (10, 15, 1), (3, 4, 1), (18, 27, 1), (3, 29, 1), (9, 15, 1), (2, 22, 1), (10, 27, 1), (17, 19, 1), (3, 17, 1), (2, 27, 1), (7, 10, 1), (10, 23, 1), (7, 19, 1), (8, 12, 1), (1, 19, 1), (26, 29, 1), (2, 7, 1), (19, 22, 1), (7, 22, 1), (2, 14, 1), (6, 13, 1), (25, 29, 1), (1, 7, 1), (9, 18, 1), (6, 20, 1), (0, 16, 1), (8, 29, 1), (6, 17, 1), (1, 11, 1), (0, 29, 1), (23, 29, 1), (0, 4, 1), (8, 17, 1), (5, 25, 1), (13, 28, 1), (15, 29, 1), (0, 1, 1), (4, 14, 1), (12, 19, 1), (5, 28, 1), (0, 8, 1), (12, 26, 1), (22, 26, 1), (4, 26, 1), (14, 26, 1), (3, 11, 1), (11, 22, 1), (14, 23, 1), (10, 13, 1), (4, 22, 1), (3, 6, 1), (18, 25, 1), (20, 24, 1), (28, 29, 1), (9, 13, 1), (2, 20, 1), (10, 25, 1), (3, 26, 1), (20, 29, 1), (10, 16, 1), (27, 29, 1), (3, 19, 1), (2, 25, 1), (17, 28, 1), (10, 21, 1), (19, 29, 1), (8, 14, 1), (9, 28, 1), (26, 27, 1), (19, 24, 1), (7, 16, 1), (9, 21, 1), (8, 11, 1), (2, 12, 1), (7, 25, 1), (1, 5, 1), (9, 16, 1), (6, 10, 1), (7, 28, 1), (5, 11, 1), (13, 14, 1), (6, 23, 1), (8, 22, 1), (1, 9, 1), (13, 23, 1), (0, 6, 1), (8, 19, 1), (13, 26, 1), (24, 29, 1), (0, 3, 1), (4, 8, 1), (12, 13, 1), (5, 26, 1), (5, 19, 1), (22, 24, 1), (12, 25, 1), (5, 22, 1), (14, 24, 1), (14, 21, 1), (4, 16, 1), (3, 8, 1), (18, 23, 1), (11, 28, 1), (20, 26, 1), (4, 21, 1), (2, 18, 1), (3, 28, 1), (17, 23, 1), (3, 21, 1), (20, 22, 1), (17, 18, 1), (3, 16, 1), (2, 3, 1), (19, 26, 1), (16, 20, 1), (7, 18, 1), (9, 27, 1), (8, 13, 1), (2, 10, 1), (1, 18, 1), (7, 27, 1), (16, 17, 1), (1, 27, 1), (9, 22, 1), (2, 15, 1), (6, 8, 1), (16, 24, 1), (0, 20, 1), (25, 28, 1), (1, 6, 1), (6, 21, 1), (8, 24, 1), (1, 15, 1), (0, 17, 1), (5, 12, 1), (23, 25, 1), (0, 24, 1), (8, 21, 1), (1, 10, 1), (4, 10, 1), (22, 23, 1), (15, 28, 1), (12, 22, 1), (4, 15, 1), (15, 21, 1), (0, 9, 1), (11, 15, 1), (4, 6, 1), (5, 20, 1), (3, 15, 1), (21, 26, 1), (14, 27, 1), (4, 18, 1), (14, 18, 1), (18, 21, 1), (21, 22, 1), (18, 28, 1), (2, 16, 1), (9, 12, 1), (3, 23, 1), (2, 21, 1), (2, 28, 1), (3, 18, 1), (20, 21, 1), (7, 9, 1), (17, 25, 1), (16, 22, 1), (7, 12, 1), (9, 25, 1), (2, 8, 1), (19, 21, 1), (6, 7, 1), (16, 19, 1), (1, 25, 1), (2, 13, 1), (6, 14, 1), (16, 26, 1), (7, 24, 1), (0, 22, 1), (6, 11, 1), (0, 19, 1), (6, 18, 1), (23, 27, 1), (8, 23, 1), (1, 8, 1), (13, 22, 1), (5, 6, 1), (0, 14, 1), (12, 16, 1), (15, 23, 1), (0, 11, 1), (12, 21, 1), (5, 18, 1), (22, 25, 1), (12, 28, 1), (11, 12, 1), (21, 24, 1), (14, 25, 1), (11, 21, 1), (4, 28, 1), (3, 12, 1), (14, 16, 1), (10, 14, 1), (18, 19, 1), (3, 5, 1), (11, 16, 1), (4, 17, 1), (11, 25, 1), (3, 20, 1), (20, 23, 1), (7, 11, 1), (10, 22, 1), (7, 14, 1), (26, 28, 1), (2, 6, 1), (1, 22, 1), (19, 23, 1), (7, 23, 1), (16, 21, 1), (9, 26, 1), (2, 11, 1), (6, 12, 1), (16, 28, 1), (9, 19, 1), (1, 26, 1), (6, 9, 1), (8, 28, 1), (1, 3, 1), (0, 21, 1), (13, 17, 1), (6, 16, 1), (5, 8, 1), (0, 28, 1), (1, 14, 1), (13, 20, 1), (6, 29, 1), (8, 16, 1), (23, 24, 1), (0, 25, 1), (13, 29, 1), (24, 26, 1), (15, 24, 1), (4, 11, 1), (15, 17, 1), (0, 13, 1), (15, 20, 1), (11, 14, 1), (4, 7, 1), (3, 14, 1), (10, 12, 1), (3, 7, 1), (11, 18, 1), (4, 19, 1), (14, 19, 1), (11, 27, 1), (10, 24, 1), (18, 29, 1), (3, 27, 1), (20, 28, 1), (17, 20, 1), (2, 24, 1), (3, 22, 1), (10, 20, 1), (2, 29, 1), (7, 8, 1), (9, 29, 1), (17, 24, 1), (2, 4, 1), (1, 20, 1), (7, 17, 1), (8, 10, 1), (1, 29, 1), (9, 24, 1), (19, 20, 1), (1, 24, 1), (7, 29, 1), (6, 15, 1), (16, 27, 1), (0, 23, 1), (13, 15, 1), (6, 22, 1), (8, 27, 1), (25, 26, 1), (1, 12, 1), (5, 15, 1), (13, 18, 1)}","[((3, 6), 0.007681080094873197)]","{(0, 5): 0.014730685034208404, (0, 7): 0.008865316283177225, (0, 10): 0.012579149021980238, (0, 12): 0.011610845295055822, (0, 18): 0.008366467099178784, (0, 26): 0.010720165094030792, (0, 27): 0.01892717416717667, (1, 2): 0.009908601179018602, (1, 4): 0.010489284863150563, (1, 13): 0.012866505343819322, (1, 16): 0.013309760727621673, (1, 17): 0.01433972208473116, (1, 21): 0.00703228543018267, (1, 23): 0.006098003629764066, (1, 28): 0.016116368507475585, (2, 5): 0.015754171216966133, (2, 9): 0.01082201323580634, (2, 17): 0.011056376573617951, (2, 19): 0.016579091406677612, (2, 23): 0.009781559436731853, (2, 26): 0.014119598892738639, (3, 10): 0.02525451559934318, (3, 13): 0.015862068965517246, (3, 24): 0.012156540777230431, (3, 25): 0.017469439883232987, (3, 6): 0.007681080094873197, (4, 5): 0.014283304918513628, (4, 9): 0.010867293625914315, (4, 13): 0.010314350400557296, (4, 20): 0.012574016022291884, (4, 23): 0.009557645419714387, (4, 25): 0.011445489376523859, (4, 27): 0.01556944215292673, (5, 7): 0.014385231626610939, (5, 9): 0.013599708082466704, (5, 10): 0.012357222642597195, (5, 13): 0.01339685420447671, (5, 14): 0.0190186346220829, (5, 16): 0.013456967825826956, (5, 17): 0.010588599241049332, (5, 21): 0.011779071141984964, (5, 24): 0.01986580601324953, (5, 29): 0.015219850392264185, (6, 24): 0.01425834701696771, (6, 25): 0.01646035956380784, (6, 27): 0.018509396095602995, (6, 28): 0.017591540005333108, (7, 13): 0.01574272672276302, (7, 15): 0.013040906774557189, (7, 20): 0.013145399982498671, (7, 21): 0.014882519417847033, (7, 26): 0.01277519547436313, (8, 9): 0.018612307232996887, (8, 15): 0.013513370409922133, (8, 20): 0.010503608779470848, (8, 25): 0.021610126782540574, (8, 26): 0.017791735722770208, (9, 10): 0.016733202940099494, (9, 11): 0.013438324127979302, (9, 14): 0.014356562977252633, (9, 17): 0.011861140137002207, (9, 20): 0.014942528735632185, (9, 23): 0.01228411435307987, (10, 11): 0.009118773946360154, (10, 17): 0.011643430150220312, (10, 18): 0.014554542652045626, (10, 19): 0.01467432950191571, (10, 26): 0.01394870774181119, (10, 28): 0.020497870728798814, (10, 29): 0.01630176975004561, (11, 13): 0.01319836293974225, (11, 17): 0.011982758620689656, (11, 19): 0.010996168582375478, (11, 23): 0.012403343782654126, (11, 24): 0.01437328954570334, (11, 26): 0.01255809324774842, (12, 14): 0.010466736328805293, (12, 15): 0.01224229155263638, (12, 17): 0.013867974443730124, (12, 18): 0.00857985322908034, (12, 20): 0.012242291552636382, (12, 23): 0.017978040622761822, (12, 24): 0.016250684181718666, (12, 27): 0.01102070475435517, (12, 29): 0.014654260171501551, (13, 16): 0.011525630862729556, (13, 19): 0.011896551724137928, (13, 21): 0.00901869467565068, (13, 24): 0.013969527961799066, (13, 25): 0.011304050355774493, (14, 15): 0.013173301793991447, (14, 20): 0.010682880338052751, (14, 22): 0.009753570184604668, (14, 28): 0.01730166385338799, (15, 16): 0.014240102171136654, (15, 18): 0.011733557762095219, (15, 19): 0.016077217801355733, (15, 25): 0.012323386746692337, (15, 27): 0.014022836722004378, (16, 18): 0.018668686679044023, (16, 23): 0.013527546571541815, (16, 25): 0.016870002327790675, (16, 29): 0.012908228425469806, (17, 21): 0.012951182454749636, (17, 22): 0.019401225893496996, (17, 26): 0.014855849914364214, (17, 27): 0.01829882962369351, (17, 29): 0.013866082831600072, (18, 20): 0.015286326832105667, (18, 22): 0.015215752451186457, (18, 24): 0.01617322222851355, (18, 26): 0.015712106627683322, (19, 25): 0.014145088627847247, (19, 27): 0.013575533661740557, (19, 28): 0.012128436697402215, (20, 25): 0.01462223732140498, (20, 27): 0.013831265840778326, (21, 23): 0.011422909235037656, (21, 25): 0.01462920617498501, (21, 27): 0.012157919074340629, (21, 28): 0.012282462879965851, (22, 27): 0.017631517313443593, (22, 28): 0.013144404809089709, (23, 28): 0.01629068249757905, (24, 27): 0.01204378448433145, (24, 28): 0.012049257938080767, (25, 27): 0.014052578966372072, (27, 28): 0.010574867761800612}",8342759401760644778688512
1,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[(0, 1), (0, 5), (0, 14), (0, 20), (0, 21), (0, 24), (0, 28), (0, 29), (1, 6), (1, 9), (1, 10), (1, 11), (1, 15), (1, 16), (1, 18), (1, 20), (1, 21), (1, 28), (2, 9), (2, 11), (2, 13), (2, 17), (2, 21), (2, 22), (2, 23), (2, 26), (2, 28), (2, 29), (3, 6), (3, 13), (3, 14), (3, 18), (3, 21), (3, 23), (3, 24), (3, 27), (3, 28), (4, 5), (4, 11), (4, 12), (5, 7), (5, 9), (5, 19), (5, 27), (5, 29), (6, 9), (6, 11), (6, 13), (6, 20), (6, 22), (6, 23), (6, 24), (6, 27), (7, 10), (7, 11), (7, 13), (7, 15), (7, 16), (7, 22), (7, 24), (8, 10), (8, 18), (8, 19), (8, 21), (8, 22), (9, 14), (9, 18), (9, 19), (9, 23), (9, 28), (10, 11), (10, 14), (10, 20), (10, 22), (10, 25), (10, 28), (11, 12), (11, 13), (11, 14), (11, 16), (11, 17), (11, 19), (11, 21), (11, 26), (11, 28), (12, 16), (12, 22), (12, 24), (12, 25), (13, 14), (13, 24), (13, 25), (13, 26), (13, 27), (14, 24), (14, 26), (15, 19), (15, 20), (15, 22), (15, 28), (15, 29), (17, 22), (17, 25), (18, 21), (18, 23), (18, 24), (19, 25), (19, 26), (20, 22), (20, 23), (20, 24), (21, 25), (21, 28), (22, 25), (23, 29), (24, 28), (24, 29), (25, 26), (25, 28), (27, 28)]","{(6, 19, 1), (23, 26, 1), (0, 27, 1), (6, 26, 1), (0, 2, 1), (15, 26, 1), (24, 25, 1), (0, 15, 1), (12, 17, 1), (22, 29, 1), (5, 23, 1), (14, 29, 1), (4, 24, 1), (12, 29, 1), (21, 29, 1), (14, 20, 1), (3, 9, 1), (11, 20, 1), (4, 29, 1), (14, 17, 1), (18, 22, 1), (11, 29, 1), (10, 15, 1), (4, 20, 1), (3, 4, 1), (18, 27, 1), (3, 29, 1), (11, 24, 1), (9, 15, 1), (10, 27, 1), (17, 19, 1), (10, 18, 1), (9, 10, 1), (3, 17, 1), (2, 27, 1), (10, 23, 1), (19, 27, 1), (7, 19, 1), (8, 12, 1), (1, 19, 1), (26, 29, 1), (2, 7, 1), (19, 22, 1), (8, 9, 1), (2, 14, 1), (16, 29, 1), (25, 29, 1), (1, 7, 1), (0, 16, 1), (8, 29, 1), (1, 2, 1), (5, 13, 1), (13, 16, 1), (6, 17, 1), (8, 20, 1), (0, 4, 1), (8, 17, 1), (12, 14, 1), (5, 25, 1), (13, 28, 1), (24, 27, 1), (4, 14, 1), (12, 19, 1), (5, 28, 1), (0, 8, 1), (15, 16, 1), (12, 26, 1), (5, 21, 1), (22, 26, 1), (4, 26, 1), (21, 27, 1), (3, 11, 1), (11, 22, 1), (14, 23, 1), (18, 20, 1), (10, 13, 1), (4, 22, 1), (21, 23, 1), (18, 25, 1), (28, 29, 1), (9, 13, 1), (2, 20, 1), (3, 26, 1), (20, 29, 1), (10, 16, 1), (27, 29, 1), (3, 19, 1), (2, 25, 1), (17, 28, 1), (10, 21, 1), (19, 29, 1), (8, 14, 1), (1, 17, 1), (26, 27, 1), (2, 5, 1), (19, 24, 1), (16, 18, 1), (9, 21, 1), (8, 11, 1), (2, 12, 1), (7, 25, 1), (1, 5, 1), (9, 16, 1), (6, 10, 1), (7, 28, 1), (0, 18, 1), (5, 11, 1), (13, 23, 1), (5, 14, 1), (0, 6, 1), (0, 3, 1), (4, 8, 1), (12, 13, 1), (5, 26, 1), (0, 10, 1), (15, 18, 1), (12, 20, 1), (4, 13, 1), (22, 24, 1), (5, 22, 1), (4, 25, 1), (14, 21, 1), (4, 16, 1), (3, 8, 1), (20, 26, 1), (4, 21, 1), (2, 18, 1), (17, 23, 1), (17, 18, 1), (10, 19, 1), (3, 16, 1), (17, 27, 1), (1, 23, 1), (2, 3, 1), (16, 20, 1), (7, 18, 1), (9, 27, 1), (8, 13, 1), (2, 10, 1), (7, 27, 1), (16, 17, 1), (1, 27, 1), (9, 22, 1), (2, 15, 1), (6, 8, 1), (16, 24, 1), (6, 21, 1), (8, 24, 1), (0, 17, 1), (13, 21, 1), (6, 28, 1), (5, 12, 1), (23, 25, 1), (6, 25, 1), (15, 25, 1), (23, 28, 1), (4, 10, 1), (12, 15, 1), (5, 24, 1), (22, 23, 1), (0, 12, 1), (5, 17, 1), (4, 15, 1), (15, 21, 1), (0, 9, 1), (11, 15, 1), (4, 6, 1), (12, 27, 1), (5, 20, 1), (22, 27, 1), (3, 15, 1), (4, 27, 1), (21, 26, 1), (14, 27, 1), (4, 18, 1), (3, 10, 1), (14, 18, 1), (4, 23, 1), (21, 22, 1), (14, 15, 1), (18, 28, 1), (2, 16, 1), (20, 25, 1), (17, 21, 1), (9, 12, 1), (10, 17, 1), (20, 21, 1), (7, 9, 1), (19, 28, 1), (16, 22, 1), (7, 12, 1), (9, 25, 1), (8, 15, 1), (2, 8, 1), (19, 21, 1), (7, 21, 1), (6, 7, 1), (16, 19, 1), (1, 25, 1), (9, 20, 1), (6, 14, 1), (16, 26, 1), (0, 22, 1), (1, 4, 1), (8, 26, 1), (25, 27, 1), (1, 13, 1), (0, 19, 1), (13, 19, 1), (6, 18, 1), (5, 10, 1), (23, 27, 1), (0, 26, 1), (8, 23, 1), (1, 8, 1), (13, 22, 1), (15, 27, 1), (0, 7, 1), (5, 6, 1), (4, 9, 1), (22, 28, 1), (15, 23, 1), (0, 11, 1), (12, 21, 1), (5, 18, 1), (14, 28, 1), (12, 28, 1), (21, 24, 1), (14, 25, 1), (4, 28, 1), (3, 12, 1), (14, 16, 1), (18, 19, 1), (3, 5, 1), (4, 17, 1), (18, 26, 1), (11, 25, 1), (20, 27, 1), (10, 26, 1), (3, 25, 1), (2, 19, 1), (9, 11, 1), (3, 20, 1), (7, 14, 1), (17, 26, 1), (26, 28, 1), (2, 6, 1), (1, 22, 1), (19, 23, 1), (7, 23, 1), (16, 21, 1), (9, 26, 1), (6, 12, 1), (16, 28, 1), (7, 26, 1), (1, 26, 1), (8, 28, 1), (16, 25, 1), (1, 3, 1), (13, 17, 1), (6, 16, 1), (5, 8, 1), (8, 25, 1), (1, 14, 1), (13, 20, 1), (6, 29, 1), (8, 16, 1), (23, 24, 1), (0, 25, 1), (13, 29, 1), (24, 26, 1), (15, 24, 1), (12, 18, 1), (15, 17, 1), (0, 13, 1), (12, 23, 1), (5, 16, 1), (4, 7, 1), (11, 23, 1), (14, 22, 1), (10, 12, 1), (3, 7, 1), (11, 18, 1), (4, 19, 1), (14, 19, 1), (11, 27, 1), (10, 24, 1), (18, 29, 1), (20, 28, 1), (17, 20, 1), (2, 24, 1), (10, 29, 1), (3, 22, 1), (17, 29, 1), (7, 8, 1), (9, 29, 1), (17, 24, 1), (2, 4, 1), (7, 17, 1), (16, 23, 1), (1, 29, 1), (9, 24, 1), (19, 20, 1), (7, 20, 1), (9, 17, 1), (1, 24, 1), (7, 29, 1), (6, 15, 1), (16, 27, 1), (0, 23, 1), (13, 15, 1), (8, 27, 1), (1, 12, 1), (5, 15, 1), (13, 18, 1)}","[((4, 17), 0.010647077361073303)]","{(0, 1): 0.012527509693926483, (0, 5): 0.018836577382304515, (0, 14): 0.013748584138389237, (0, 20): 0.013853769640876085, (0, 21): 0.015435388366422846, (0, 24): 0.01090454772613693, (0, 28): 0.011429335837131937, (0, 29): 0.011129042260976295, (1, 6): 0.01255062944718117, (1, 9): 0.012839413626520073, (1, 10): 0.010917319118218667, (1, 11): 0.019726189047778255, (1, 15): 0.014214797363223149, (1, 16): 0.023104816639299395, (1, 18): 0.015933083519290413, (1, 20): 0.011003326175739967, (1, 21): 0.010676883780332058, (1, 28): 0.00879584017515052, (2, 9): 0.014087617363479433, (2, 11): 0.016819467250501735, (2, 13): 0.0132166137896361, (2, 17): 0.0177858631864717, (2, 21): 0.013487975288178126, (2, 22): 0.01692764226232786, (2, 23): 0.017927876720980167, (2, 26): 0.01401635720601238, (2, 28): 0.013078518844238924, (2, 29): 0.019982964972822984, (3, 6): 0.0102344056427541, (3, 13): 0.01159573977418538, (3, 14): 0.012102857381796858, (3, 18): 0.010922450975829858, (3, 21): 0.013263244382866461, (3, 23): 0.01152068758693078, (3, 24): 0.011124877676601816, (3, 27): 0.01234420953114238, (3, 28): 0.01350221674395114, (4, 5): 0.023274659567763013, (4, 11): 0.03292099981755153, (4, 12): 0.013605935233724283, (4, 17): 0.010647077361073303, (5, 7): 0.021318705726501828, (5, 9): 0.01912196679438059, (5, 19): 0.020273971201533736, (5, 27): 0.01924988367819584, (5, 29): 0.015249557760802139, (6, 9): 0.011878030283104062, (6, 11): 0.021166498182119627, (6, 13): 0.011081537536912787, (6, 20): 0.010835333249126352, (6, 22): 0.020598802819898156, (6, 23): 0.011947637292464878, (6, 24): 0.011065674085120243, (6, 27): 0.015013020185433977, (7, 10): 0.012189199517888116, (7, 11): 0.015405369210819425, (7, 13): 0.015449768113142305, (7, 15): 0.013101465140445646, (7, 16): 0.01364714468162744, (7, 22): 0.01374427165502216, (7, 24): 0.01651590171300904, (8, 10): 0.014602208699571781, (8, 18): 0.01676930627478573, (8, 19): 0.01688868857095889, (8, 21): 0.015042485637126398, (8, 22): 0.021303540573317452, (9, 14): 0.01339877632034185, (9, 18): 0.012756098574965456, (9, 19): 0.015697254274347306, (9, 23): 0.011608859313033544, (9, 28): 0.012543114407708425, (10, 11): 0.014414414749100348, (10, 14): 0.015435055222514434, (10, 20): 0.013388618572276741, (10, 22): 0.009818979399189293, (10, 25): 0.011164551585444079, (10, 28): 0.013484368926647788, (11, 12): 0.016647576390058087, (11, 13): 0.014876003499130014, (11, 14): 0.018050656835393725, (11, 16): 0.024110563765736174, (11, 17): 0.021674882476099507, (11, 19): 0.0203893903581405, (11, 21): 0.02017939252859718, (11, 26): 0.01688034188034188, (11, 28): 0.016327791716726506, (12, 16): 0.010689199051268016, (12, 22): 0.017677728702069476, (12, 24): 0.027044732026652828, (12, 25): 0.014216367751952902, (13, 14): 0.008549352774593096, (13, 24): 0.013242492287381606, (13, 25): 0.015015335093836861, (13, 26): 0.01102519312702147, (13, 27): 0.014119022739712394, (14, 24): 0.011689823137702136, (14, 26): 0.011918298610478833, (15, 19): 0.0168914744157386, (15, 20): 0.010563863367461566, (15, 22): 0.015048864456660559, (15, 28): 0.016644397099695767, (15, 29): 0.014507111523603277, (17, 22): 0.016845355080649195, (17, 25): 0.012164683599774878, (18, 21): 0.011889288872047491, (18, 23): 0.01121724699310906, (18, 24): 0.018833751173684146, (19, 25): 0.01470609896290245, (19, 26): 0.013468101227627038, (20, 22): 0.01584064815809237, (20, 23): 0.014665978976323801, (20, 24): 0.012651941284977705, (21, 25): 0.015658775852808095, (21, 28): 0.008199233716475096, (22, 25): 0.011969149286593503, (23, 29): 0.012484035759897828, (24, 28): 0.013071631890531264, (24, 29): 0.017535058334511546, (25, 26): 0.009927055702917773, (25, 28): 0.015708319706699777, (27, 28): 0.01909986565158979}",1055938645976395955568640
