added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12)]",10.21821057804861,8.09904350676116,5.260281087885086,5.133400349887445,4.314006947714334,3.5107878023576804,3.3112129545539206,2.8548770229385942,2.476400068770113,1.789050368159813,1.6552986000924925,1.2947964687974243,1.0738519428548792,1.008782301178445,1.0339017465981803e-15,219409
"(5, 12, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (5, 12), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12)]",10.240121610106499,8.106027229135378,5.479374978404997,5.144772047689297,4.391177960551123,3.9295448128995583,3.3752424590053463,3.1532770443953413,2.5006940117584326,2.1946772096461165,1.7859153603253475,1.4046076641309417,1.2361744078873103,1.0583932040643158,-7.654054013438428e-16,516040
"(5, 10, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (5, 10), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12)]",10.248472481977718,8.102346544874791,5.513827238153454,5.134552190885859,4.438167575996577,3.58836689919131,3.4523830367823423,3.000000000000001,2.8221844475231017,2.399089598051365,1.7686638807167374,1.3683217692246161,1.101186040510168,1.0624382961119394,-2.785121402529199e-16,495570
"(10, 13, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (10, 13)]",10.246762841817405,8.103363852540527,5.262671710112788,5.188597267474499,4.714829476832712,3.816389213155091,3.5024625831701304,2.875858292020365,2.5647646091377285,2.174605789504752,1.7712765790521505,1.6115027458892985,1.1033530837400682,1.0635619555524458,7.590613753487089e-16,511799
"(10, 14, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (10, 14)]",10.23529399538544,8.166720998802104,5.317402074807844,5.138029908505437,4.428742229269483,3.8526057451335833,3.4684497607019757,3.0385130052150218,2.678162119714104,2.3953295191858137,1.689603385531776,1.4303851700828565,1.1299361841616344,1.0308259035028893,2.7333077680543647e-15,494383
"(10, 11, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (10, 11)]",10.240677050256632,8.108168046312363,5.302775637731994,5.14392019690277,4.750130435948073,3.7443858626052475,3.421567226155476,3.172603828703236,2.540318764088049,1.9512388559268499,1.6972243622680043,1.6092980814557931,1.2878562949943768,1.0298353566510758,-1.9487370857244503e-15,523473
"(11, 12, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (11, 12)]",10.233559060490958,8.113854841550998,5.277750229442748,5.165366407208538,4.7236153296707455,4.039952593580066,3.323613908500251,2.8744714243669005,2.4881013663653087,2.0919064459742875,1.785559619739624,1.636253754508899,1.180874675060257,1.0651203435404697,6.630992255521279e-16,526223
"(12, 14, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (12, 14)]",10.229147421970675,8.180686933490085,5.3110927801886865,5.19978116757638,4.338361907833303,3.826457241340842,3.3379734606045814,3.136720539749138,2.791126709253816,2.449857529568006,1.6585310769066113,1.3137040536316742,1.1563794255370026,1.070179752349221,-9.833493672595164e-16,493727
"(12, 13, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 8), (2, 9), (2, 14), (3, 5), (3, 6), (3, 7), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (4, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 12), (12, 13)]",10.23868783250659,8.107502998028098,5.339510982563208,5.25774956180685,4.520742701768045,3.838304207130775,3.3493038117698912,3.204290537784244,2.502359964867691,2.1057738606546055,1.7826366115159977,1.3996423319494031,1.2907685227976409,1.0627260748569711,-1.2331075319262205e-15,521781
