eigenvalue_1,eigenvalue_2,span_trees
(11.039941269450452+0j),(4.091160372188867+0j),4
(11.036757825452737+0j),(4.144740357061686+0j),3
(11.022684858522865+0j),(4.098259668422105+0j),3
(11.02268485852287+0j),(4.098259668422107+0j),3
(11.022684858522869+0j),(4.098259668422105+0j),3
(11.022684858522869+0j),(4.098259668422105+0j),3
(11.022684858522865+0j),(4.098259668422107+0j),3
(11.022684858522869+0j),(4.098259668422107+0j),3
(11.022684858522862+0j),(4.098259668422106+0j),3
(11.022684858522874+0j),(4.098259668422105+0j),3
(11.036981496624325+0j),(4.292550867045464+0j),4
(11.022506773161878+0j),(4.410148866644697+0j),3
(12.01849133750223+0j),(4.046239620325366+0j),3
(12.009252116023166+0j),(3.516751518620245+0j),3
(12.04093754395014+0j),(3.9014296225377754+0j),4
(12.027378334320549+0j),(3.618033988749901+0j),5
(11.022680372796035+0j),(3.8642335421602336+0j),3
(11.022680372796032+0j),(3.8642335421602376+0j),3
(11.036933555838845+0j),(3.991371743053544+0j),6
(11.022680372796032+0j),(3.864233542160236+0j),3
(11.022680372796035+0j),(3.864233542160234+0j),3
(11.022680372796035+0j),(3.864233542160235+0j),3
(11.022680372796035+0j),(3.864233542160231+0j),3
(11.022680372796035+0j),(3.8642335421602314+0j),3
(11.022680372796032+0j),(3.864233542160233+0j),3
(11.040581721085097+0j),(4.504686512952744+0j),4
(11.03676641204586+0j),(4.520677401387983+0j),5
(11.03639850794+0j),(3.52259093316334+0j),4
(11.033609509090414+0j),(4.281365040431659+0j),5
(11.036981496624335+0j),(4.292550867045468+0j),4
(11.022506744543065+0j),(3.5155095128879994+0j),3
(11.022506744543051+0j),(3.5155095128880007+0j),3
(11.022506744543067+0j),(3.515509512888002+0j),3
(11.022506744543072+0j),(3.515509512887998+0j),3
(11.022506744543051+0j),(3.5155095128879954+0j),3
(11.0337813228913+0j),(3.700380013164717+0j),6
(11.022506744543055+0j),(3.515509512888+0j),3
(11.02250674454308+0j),(3.515509512887999+0j),3
(11.02250674454308+0j),(3.515509512887999+0j),3
(11.033781322891304+0j),(3.700380013164719+0j),6
(11.033609509090411+0j),(4.281365040431661+0j),5
(11.022506744543069+0j),(3.515509512888+0j),3
(11.03639850794001+0j),(3.5225909331633405+0j),4
(11.022506744543055+0j),(3.5155095128879954+0j),3
(11.036981496624339+0j),(4.292550867045468+0j),4
(11.022506744543069+0j),(3.5155095128879945+0j),3
(11.022506744543069+0j),(3.5155095128879963+0j),3
(11.022506744543051+0j),(3.5155095128879976+0j),3
(11.033781322891304+0j),(3.700380013164718+0j),6
(11.022506744543051+0j),(3.5155095128879976+0j),3
(11.022506744543062+0j),(3.5155095128879905+0j),3
(11.022506744543051+0j),(3.515509512887993+0j),3
(11.036981496624339+0j),(4.292550867045468+0j),4
(11.02250674454308+0j),(3.5155095128879985+0j),3
(11.022506744543067+0j),(3.515509512887998+0j),3
(11.033609509090411+0j),(4.28136504043166+0j),5
(11.036398507940001+0j),(3.5225909331633414+0j),4
(11.036981496624342+0j),(4.292550867045468+0j),4
(11.036398507940017+0j),(3.522590933163337+0j),4
(11.033609509090411+0j),(4.281365040431661+0j),5
(11.022506744543069+0j),(3.5155095128879976+0j),3
(11.033781322891302+0j),(3.7003800131647124+0j),6
(11.022506744543069+0j),(3.515509512887997+0j),3
(11.022506744543051+0j),(3.5155095128879985+0j),3
(11.022506744543051+0j),(3.5155095128879967+0j),3
(11.036398507940017+0j),(3.5225909331633405+0j),4
(11.036398507940017+0j),(3.522590933163338+0j),4
(11.036398507940001+0j),(3.5225909331633405+0j),4
(11.022644944332704+0j),(3.801937735804846+0j),7
(11.036398507940001+0j),(3.522590933163342+0j),4
(11.022689416840327+0j),(4.330077119965558+0j),6
(11.022509045290997+0j),(4.394726886879467+0j),5
(11.033781322891299+0j),(3.700380013164715+0j),6
(11.033609509090411+0j),(4.2813650404316625+0j),5
(11.022506744543072+0j),(3.515509512888+0j),3
(11.036981496624339+0j),(4.2925508670454695+0j),4
(11.022506744543076+0j),(3.5155095128879985+0j),3
(11.022506744543069+0j),(3.5155095128879954+0j),3
(11.036981496624342+0j),(4.2925508670454695+0j),4
(11.036981496624339+0j),(4.292550867045468+0j),4
(11.036981496624339+0j),(4.292550867045468+0j),4
(11.022684858522846+0j),(4.098259668422102+0j),3
(11.033609509090414+0j),(4.281365040431659+0j),5
(11.033609509090411+0j),(4.2813650404316625+0j),5
(11.033609509090411+0j),(4.2813650404316625+0j),5
(11.022506744543062+0j),(3.5155095128879954+0j),3
(11.03378132289129+0j),(3.700380013164715+0j),6
(11.022506744543055+0j),(3.5155095128880016+0j),3
(11.022506744543055+0j),(3.515509512887995+0j),3
(11.033781322891299+0j),(3.700380013164716+0j),6
(11.033781322891308+0j),(3.7003800131647133+0j),6
