added,edges,eigenvalues,span_trees
"(0, 4, 1)","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[ 9.11356876e+00  4.64454967e+00  3.20487041e+00  3.00000000e+00
  2.53457184e+00  1.51978470e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.91627419e-01
  2.88971820e-01  2.02055388e-01 -1.77314627e-16]",3
"(0, 12, 1)","[(0, 1), (0, 12), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[ 9.13016117e+00  4.64745898e+00  3.61803399e+00  2.61803399e+00
  2.36878061e+00  1.38196601e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.08244723e-01
  3.81966011e-01  2.45354519e-01 -3.02389788e-16]",5
"(0, 6, 1)","[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[9.13884433e+00 4.72354694e+00 3.20636324e+00 2.78620537e+00
 2.52248024e+00 1.51698444e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.43804913e-01
 3.45141426e-01 2.16629089e-01 1.26585639e-15]",4
"(0, 9, 1)","[(0, 1), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[9.13610612e+00 4.65298239e+00 3.32424752e+00 3.14307603e+00
 2.00000000e+00 1.51754210e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 7.16612119e-01
 3.07362199e-01 2.02071525e-01 5.21860008e-16]",4
"(0, 14, 1)","[(0, 1), (0, 14), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[ 9.11356876e+00  4.64454967e+00  3.20487041e+00  3.00000000e+00
  2.53457184e+00  1.51978470e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.91627419e-01
  2.88971820e-01  2.02055388e-01 -1.68371618e-16]",3
"(0, 3, 1)","[(0, 1), (0, 3), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[ 9.11356876e+00  4.64454967e+00  3.20487041e+00  3.00000000e+00
  2.53457184e+00  1.51978470e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.91627419e-01
  2.88971820e-01  2.02055388e-01 -4.62839978e-16]",3
"(0, 11, 1)","[(0, 1), (0, 11), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[9.13884433e+00 4.72354694e+00 3.20636324e+00 2.78620537e+00
 2.52248024e+00 1.51698444e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.43804913e-01
 3.45141426e-01 2.16629089e-01 5.26681281e-16]",4
"(0, 5, 1)","[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[9.11356876e+00 4.64454967e+00 3.20487041e+00 3.00000000e+00
 2.53457184e+00 1.51978470e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 4.91627419e-01
 2.88971820e-01 2.02055388e-01 2.58257237e-16]",3
"(0, 13, 1)","[(0, 1), (0, 13), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (7, 9), (8, 10), (10, 12)]","[9.13884433e+00 4.72354694e+00 3.20636324e+00 2.78620537e+00
 2.52248024e+00 1.51698444e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.43804913e-01
 3.45141426e-01 2.16629089e-01 3.28565276e-16]",4
"(3, 9, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 14), (2, 6), (2, 11), (2, 13), (3, 9), (7, 9), (8, 10), (10, 12)]","[ 9.13610612e+00  4.65298239e+00  3.32424752e+00  3.14307603e+00
  2.00000000e+00  1.51754210e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  7.16612119e-01
  3.07362199e-01  2.02071525e-01 -8.28397121e-16]",4
