eigenvalue_1,eigenvalue_2,span_trees
(8.131231511389272+0j),(5.160508116063289+0j),4
(8.089547466696171+0j),(5.184095565597806+0j),3
(8.075521674350338+0j),(5.252333360616574+0j),3
(8.131231511389275+0j),(5.160508116063286+0j),4
(8.174209943487597+0j),(5.860560093217319+0j),3
(8.12049985552724+0j),(5.186373536061754+0j),4
(8.131231511389293+0j),(5.160508116063303+0j),4
(8.12263169149903+0j),(5.176748933386798+0j),4
(7.299740452087278+0j),(5.987626465299541+0j),4
(7.222902974561964+0j),(5.171279019988563+0j),4
(7.137712254141782+0j),(5.160580777139552+0j),3
(7.137712254141782+0j),(5.160580777139555+0j),3
(7.179337783022897+0j),(5.294254148914523+0j),5
(7.137712254141786+0j),(5.160580777139534+0j),3
(7.179337783022895+0j),(5.294254148914523+0j),5
(7.145183178792241+0j),(5.598794207524993+0j),3
(7.182841137712469+0j),(5.165947547434723+0j),3
(7.137712254141782+0j),(5.160580777139555+0j),3
(7.182608577759973+0j),(5.178504966896538+0j),5
(7.179337783022897+0j),(5.294254148914527+0j),5
(7.22638249343211+0j),(5.2283909112177875+0j),3
(7.237142738976203+0j),(5.432002179118162+0j),5
(7.23275598561876+0j),(5.3742671092712575+0j),3
(7.1554084229250465+0j),(5.500575512736565+0j),3
(7.155408422925048+0j),(5.500575512736567+0j),3
(7.279738004424167+0j),(5.429761622283912+0j),4
(7.155408422925048+0j),(5.500575512736566+0j),3
(7.22638249343211+0j),(5.228390911217787+0j),3
(7.155408422925048+0j),(5.500575512736563+0j),3
(7.226382493432116+0j),(5.228390911217787+0j),3
(7.256004508217085+0j),(5.971352482439675+0j),4
(7.2560045082170905+0j),(5.971352482439686+0j),4
(7.1447618348343225+0j),(6.215670107556571+0j),5
(7.256004508217083+0j),(5.971352482439674+0j),4
(7.25600450821708+0j),(5.97135248243968+0j),4
(7.14048096361237+0j),(6.056961716321549+0j),3
(7.160797871247096+0j),(6.127058121899958+0j),4
(7.159373559582824+0j),(6.096819475635908+0j),6
(7.140094539268245+0j),(5.238930190681874+0j),6
(7.138937779167525+0j),(5.159913694090621+0j),6
(7.1875618114990925+0j),(5.168410759193393+0j),4
(7.140094539268245+0j),(5.238930190681874+0j),6
(7.1875618114990925+0j),(5.168410759193386+0j),4
(7.140094539268249+0j),(5.238930190681885+0j),6
(7.187561811499101+0j),(5.168410759193381+0j),4
(7.1875618114990845+0j),(5.168410759193382+0j),4
(7.136067199070343+0j),(5.237191731515328+0j),5
(7.13572887746677+0j),(5.162231044415679+0j),7
(7.135860087231858+0j),(5.239779360034919+0j),7
(7.164848618157125+0j),(5.162145455617036+0j),5
(7.164848618157133+0j),(5.162145455617058+0j),5
(7.135860087231851+0j),(5.2397793600349365+0j),7
(7.1408755246358+0j),(5.197235899562611+0j),6
(7.164848618157148+0j),(5.162145455617041+0j),5
(7.16484861815713+0j),(5.162145455617047+0j),5
(7.135860087231845+0j),(5.239779360034923+0j),7
(7.142882492720897+0j),(5.371526966361635+0j),4
(7.142882492720895+0j),(5.371526966361633+0j),4
(7.195628428152469+0j),(5.1757253879816725+0j),4
(7.142882492720895+0j),(5.371526966361633+0j),4
(7.195628428152478+0j),(5.175725387981664+0j),4
(7.195628428152464+0j),(5.1757253879816725+0j),4
(7.195628428152462+0j),(5.175725387981673+0j),4
(7.1613332412354+0j),(5.260919420663569+0j),5
(7.161333241235402+0j),(5.2609194206635745+0j),5
(7.161333241235399+0j),(5.260919420663574+0j),5
(7.135800918229647+0j),(5.216851973812743+0j),5
(7.1357208466303375+0j),(5.159666340788127+0j),3
(7.161333241235399+0j),(5.260919420663577+0j),5
(7.135720846630334+0j),(5.159666340788127+0j),3
(7.135800918229647+0j),(5.216851973812743+0j),5
(7.161333241235401+0j),(5.260919420663582+0j),5
(7.1613332412354+0j),(5.260919420663571+0j),5
(7.13572084663033+0j),(5.15966634078812+0j),3
(7.161333241235396+0j),(5.2609194206635745+0j),5
(7.1613332412354+0j),(5.260919420663569+0j),5
(7.1613332412354+0j),(5.260919420663571+0j),5
(7.1613332412354+0j),(5.260919420663576+0j),5
(7.1613332412354+0j),(5.260919420663571+0j),5
(7.1613332412354005+0j),(5.260919420663575+0j),5
(7.135800918229647+0j),(5.216851973812743+0j),5
(7.163932611595499+0j),(5.1693254780155335+0j),5
(7.1357208466303375+0j),(5.159666340788125+0j),3
(7.135720846630335+0j),(5.1596663407881245+0j),3
(7.1357208466303375+0j),(5.159666340788111+0j),3
(7.135720846630325+0j),(5.159666340788126+0j),3
(7.163932611595502+0j),(5.169325478015537+0j),5
(7.135720846630331+0j),(5.159666340788127+0j),3
(7.1357208466303375+0j),(5.159666340788129+0j),3
(7.1639326115954916+0j),(5.169325478015533+0j),5
(7.163932611595495+0j),(5.169325478015537+0j),5
