eigenvalue_1,eigenvalue_2,diff,span_trees
8.162664933400416,6.583506999456131,1.579157933944285,806260
8.17644759671565,6.587005873737118,1.589441722978533,722421
8.146723075257155,6.579404275302737,1.5673187999544176,854530
8.166734851253317,6.58846596719004,1.5782688840632764,803344
8.158142657905223,6.537130901040688,1.6210117568645357,831717
8.145845742547516,6.605848569911987,1.5399971726355295,805383
8.146766363340813,6.637707463605839,1.509058899734974,808102
8.166553309016711,6.535605415526656,1.6309478934900552,835726
8.147839001413582,6.531299078394269,1.616539923019313,758098
8.155180620520213,6.5316324912709085,1.6235481292493041,826479
