added,edges,eigenvalues,span_trees
"(5, 9, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 9), (11, 12)]","[1.33058249e+01 1.17377305e+01 8.14118326e+00 4.95142428e+00
 4.67730943e+00 3.45495558e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.73169960e+00 1.01866484e+00
 6.54084360e-01 3.27123244e-01 4.56128549e-16]",40960
"(5, 6, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 6), (11, 12)]","[ 1.32703604e+01  1.17367207e+01  8.19773234e+00  5.11731111e+00
  4.83979503e+00  2.97691999e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.52123134e+00  1.07725671e+00
  9.47378660e-01  3.15293651e-01 -3.40940185e-16]",49152
"(5, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 12), (11, 12)]","[1.32807850e+01 1.17263222e+01 8.15410806e+00 5.41494899e+00
 4.57487763e+00 2.99010866e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.49539110e+00 1.25740933e+00
 5.96432053e-01 5.09617070e-01 1.19287509e-15]",57344
"(5, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 10), (11, 12)]","[1.32629721e+01 1.17135930e+01 8.11836407e+00 4.94881194e+00
 4.56203487e+00 4.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48359970e+00 1.01390684e+00
 5.95744622e-01 3.00972793e-01 1.29384874e-15]",32768
"(5, 7, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 7), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -1.43734615e-15]",32768
"(6, 9, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 9), (11, 12)]","[1.32777856e+01 1.17136355e+01 8.29940730e+00 4.99840884e+00
 4.67745790e+00 3.02156884e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 2.00000000e+00 1.03507488e+00
 6.75541818e-01 3.01119328e-01 1.00408662e-16]",40960
"(6, 7, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 7), (11, 12)]","[ 1.32703604e+01  1.17367207e+01  8.19773234e+00  5.11731111e+00
  4.83979503e+00  2.97691999e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.52123134e+00  1.07725671e+00
  9.47378660e-01  3.15293651e-01 -5.71870967e-16]",49152
"(6, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 10), (11, 12)]","[ 1.32703604e+01  1.17367207e+01  8.19773234e+00  5.11731111e+00
  4.83979503e+00  2.97691999e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.52123134e+00  1.07725671e+00
  9.47378660e-01  3.15293651e-01 -3.07503273e-16]",49152
"(6, 8, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 8), (11, 12)]","[1.32713870e+01+0.00000000e+00j 1.17354339e+01+0.00000000e+00j
 8.19135703e+00+0.00000000e+00j 5.21153924e+00+0.00000000e+00j
 4.75880983e+00+0.00000000e+00j 2.93803152e+00+0.00000000e+00j
 2.00000000e+00+4.25828511e-16j 2.00000000e+00+0.00000000e+00j
 2.00000000e+00-4.25828511e-16j 2.00000000e+00+0.00000000e+00j
 1.51896948e+00+0.00000000e+00j 1.25155569e+00+0.00000000e+00j
 7.94882915e-01+0.00000000e+00j 3.28033310e-01+0.00000000e+00j
 9.53496140e-16+0.00000000e+00j]",49152
"(6, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 13), (11, 12)]","[1.32713870e+01 1.17354339e+01 8.19135703e+00 5.21153924e+00
 4.75880983e+00 2.93803152e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.51896948e+00 1.25155569e+00
 7.94882915e-01 3.28033310e-01 1.39755218e-15]",49152
