eigenvalue_1,eigenvalue_2,span_trees
(13.632429485484234+0j),(9.555862683698088+0j),40960
(13.492955780981475+0j),(9.550285660478599+0j),32768
(13.601224818108705+0j),(9.541292054585181+0j),49152
(13.492955780981465+0j),(9.550285660478595+0j),32768
(13.49295578098148+0j),(9.550285660478606+0j),32768
(13.601224818108701+0j),(9.541292054585188+0j),49152
(13.528264163145423+0j),(9.986604225992338+0j),32768
(13.711006811199034+0j),(9.774857919533508+0j),40960
(13.528149440306613+0j),(9.535789164999246+0j),32768
(12.93887887884596+0j),(9.9676930387747+0j),40960
(12.921731299346764+0j),(9.540080013601328+0j),40960
(12.87829806392988+0j),(9.908926499796298+0j),49152
(12.888371001367684+0j),(9.548180263362886+0j),57344
(12.970543418868067+0j),(9.95587536826103+0j),32768
(12.921731299346764+0j),(9.540080013601328+0j),40960
(12.888371001367677+0j),(9.548180263362893+0j),57344
(12.880396511447193+0j),(9.557602770487806+0j),49152
(12.88159461432042+0j),(9.762795885185438+0j),32768
(12.85941195783412+0j),(9.525225633872486+0j),32768
(12.921731299346764+0j),(9.540080013601331+0j),40960
(12.859411957834126+0j),(9.525225633872509+0j),32768
(12.907629641591964+0j),(9.541590465761086+0j),40960
(12.88159461432041+0j),(9.762795885185437+0j),32768
(12.88159461432041+0j),(9.762795885185437+0j),32768
(13.020768803321046+0j),(9.645109177947617+0j),40960
(12.965055644933651+0j),(9.881469471819502+0j),40960
(12.945465473619485+0j),(9.548037075981014+0j),32768
(12.898445106929213+0j),(10.628548072435127+0j),32768
(12.965055644933651+0j),(9.881469471819509+0j),40960
(13.020768803321019+0j),(9.645109177947626+0j),40960
(13.020768803321042+0j),(9.645109177947617+0j),40960
(12.946273315119207+0j),(9.617166409870679+0j),32768
(12.859772553825062+0j),(10.132520366133239+0j),49152
(12.859772553825062+0j),(10.132520366133242+0j),49152
(12.870130903913541+0j),(9.834642921466662+0j),32768
(13.24265386742335+0j),(9.765561620942806+0j),40960
(12.870130903913548+0j),(9.834642921466656+0j),32768
(12.859772553825062+0j),(10.13252036613325+0j),49152
(12.938878878845957+0j),(9.9676930387747+0j),40960
(12.93887887884596+0j),(9.967693038774716+0j),40960
(12.862023753409042+0j),(9.869561855573426+0j),32768
(13.15943850967017+0j),(9.71897349709367+0j),40960
(12.970543418868063+0j),(9.955875368260998+0j),32768
(12.970543418868063+0j),(9.955875368260998+0j),32768
(13.09002757385579+0j),(10.015006481830723+0j),49152
(13.111891821351488+0j),(9.756682978089914+0j),57344
(13.111891821351488+0j),(9.756682978089916+0j),57344
(13.103986075629994+0j),(10.471414131257802+0j),49152
(12.859411957834123+0j),(9.525225633872514+0j),32768
(12.907629641591964+0j),(9.541590465761068+0j),40960
(12.878298063929876+0j),(9.908926499796292+0j),49152
(12.888371001367684+0j),(9.548180263362896+0j),57344
(12.921731299346764+0j),(9.540080013601333+0j),40960
(12.921731299346764+0j),(9.540080013601337+0j),40960
(12.888371001367684+0j),(9.548180263362905+0j),57344
(12.92173129934676+0j),(9.54008001360132+0j),40960
(12.880396511447193+0j),(9.557602770487794+0j),49152
(12.85941195783413+0j),(9.525225633872493+0j),32768
(12.8708687370532+0j),(9.528310814668703+0j),57344
(12.85941195783412+0j),(9.525225633872486+0j),32768
(12.860377102066877+0j),(9.59243273338641+0j),49152
(12.92173129934676+0j),(9.540080013601344+0j),40960
(12.86604424192129+0j),(9.601316739835298+0j),65536
(12.875989097056074+0j),(9.810011786489593+0j),57344
(12.86604424192129+0j),(9.60131673983528+0j),65536
(12.860081678521626+0j),(9.634642470518203+0j),40960
(12.859657664967823+0j),(9.705980023231287+0j),32768
(12.860081678521627+0j),(9.634642470518216+0j),40960
(12.880396511447193+0j),(9.55760277048778+0j),49152
(12.865233820613316+0j),(9.61773920576319+0j),40960
(12.870868737053208+0j),(9.528310814668721+0j),57344
(12.8708687370532+0j),(9.528310814668714+0j),57344
(12.907629641591953+0j),(9.541590465761079+0j),40960
(12.860377102066877+0j),(9.592432733386413+0j),49152
(12.861948163081873+0j),(9.525802818036434+0j),49152
(12.860377102066881+0j),(9.592432733386424+0j),49152
(12.86194816308187+0j),(9.52580281803643+0j),49152
(12.868760701083177+0j),(10.01569030536561+0j),40960
(12.87598909705607+0j),(9.81001178648956+0j),57344
(12.86604424192129+0j),(9.601316739835289+0j),65536
(12.866044241921287+0j),(9.601316739835275+0j),65536
(12.859411957834116+0j),(9.525225633872495+0j),32768
(12.92173129934676+0j),(9.54008001360133+0j),40960
(12.92173129934676+0j),(9.540080013601319+0j),40960
(12.86604424192129+0j),(9.6013167398353+0j),65536
(12.875989097056074+0j),(9.810011786489593+0j),57344
(12.866044241921283+0j),(9.601316739835275+0j),65536
(12.87829806392988+0j),(9.908926499796289+0j),49152
(12.859411957834105+0j),(9.525225633872495+0j),32768
(12.888371001367677+0j),(9.548180263362894+0j),57344
(12.888371001367684+0j),(9.548180263362879+0j),57344
