eigenvalue_1,eigenvalue_2,diff,span_trees
(10.214886445990908+0j),(7.695316966730554+0j),(2.519569479260354+0j),333904
(10.243887764884075+0j),(7.530523203564934+0j),(2.713364561319141+0j),334192
(10.242379410334548+0j),(7.636137693217456+0j),(2.6062417171170926+0j),363904
(10.213060755440223+0j),(7.613922354170819+0j),(2.5991384012694034+0j),351388
(10.21959066806162+0j),(7.740529233484353+0j),(2.4790614345772672+0j),315760
(10.213033283370002+0j),(7.6191109578627065+0j),(2.593922325507296+0j),352348
(10.213033283369967+0j),(7.6191109578626985+0j),(2.5939223255072683+0j),352348
(10.23254560229271+0j),(7.67783438580343+0j),(2.55471121648928+0j),381024
(10.213060755440218+0j),(7.613922354170826+0j),(2.599138401269392+0j),351388
(10.241382918668453+0j),(7.756175343006467+0j),(2.4852075756619865+0j),391392
(10.212852405761+0j),(8.307386345625714+0j),(1.9054660601352857+0j),307728
(10.212915715474857+0j),(8.331417466580596+0j),(1.8814982488942604+0j),330928
(10.260239883973782+0j),(7.4870120416935295+0j),(2.773227842280252+0j),428512
(10.221437308141432+0j),(7.5010449171095015+0j),(2.7203923910319308+0j),388620
(10.221437308141425+0j),(7.5010449171095+0j),(2.7203923910319254+0j),388620
(10.221635176158696+0j),(7.504455772549356+0j),(2.7171794036093395+0j),378460
(10.214080015894687+0j),(7.486738785896799+0j),(2.7273412299978883+0j),315664
(10.278412505381008+0j),(7.571293093008238+0j),(2.7071194123727693+0j),378000
(10.221635176158728+0j),(7.5044557725493615+0j),(2.717179403609366+0j),378460
(11.108926540451+0j),(7.486319175443105+0j),(3.6226073650078945+0j),304272
(11.123691526567747+0j),(7.495320343460277+0j),(3.62837118310747+0j),358704
(11.1612302251909+0j),(7.513306368992289+0j),(3.647923856198611+0j),357840
(11.120870751392502+0j),(7.531837247784137+0j),(3.5890335036083654+0j),335920
(11.136176798329068+0j),(7.609703271564173+0j),(3.526473526764895+0j),310816
(10.214439413974942+0j),(8.284673831241223+0j),(1.9297655827337188+0j),338032
(10.223343495257918+0j),(8.28298173012826+0j),(1.9403617651296585+0j),348012
(10.268509288458908+0j),(8.166223313429967+0j),(2.1022859750289413+0j),366976
(10.223343495257916+0j),(8.282981730128238+0j),(1.940361765129678+0j),348012
(10.212946760217829+0j),(8.468762498998947+0j),(1.7441842612188818+0j),282448
(10.283244084677492+0j),(8.126221931590154+0j),(2.157022153087338+0j),389440
(10.297462622619841+0j),(8.042688511581838+0j),(2.254774111038003+0j),328960
(10.235950184610394+0j),(7.487476578925954+0j),(2.748473605684439+0j),410380
(10.212869053258848+0j),(7.509290147251963+0j),(2.703578906006885+0j),423952
(10.212862686821996+0j),(7.5222492598178805+0j),(2.6906134270041155+0j),409248
(10.213197551171042+0j),(7.562143728758976+0j),(2.6510538224120666+0j),381616
(10.257547353304773+0j),(7.490631722732867+0j),(2.766915630571906+0j),395392
(10.23595018461038+0j),(7.487476578925954+0j),(2.748473605684425+0j),410380
