added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",9.535307417669026,8.774167206029745,6.977437067568643,5.6720452652107864,3.8344367393050622,3.1241026901927955,2.7287558472945914,2.000000000000001,1.9999999999999993,1.8997010450764262,1.7760114247917953,1.337617527687376,1.3026222690802618,1.0377955000934735,2.1797555814897837e-16,176088,6.599805945957956,8.60555127546399,0.08740959706477724,-0.0009337649402390439
"(0, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 7), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.326880001167266,9.026268427809207,6.983684019024571,5.67255615285856,4.366093131099268,3.2022856874110723,2.729400602274827,2.0000000000000004,1.999999999999999,1.8998402688135645,1.77603123093728,1.4594918522340123,1.3026308646405078,1.254837761729841,1.7232451675850663e-15,302488,7.328436144209826,8.60555127546399,0.08740959706477724,-0.0008985264166766503
"(0, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 10), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.200095662710218,9.123135512691011,6.9796279371860095,5.693157808591406,3.8379498123030524,3.1242575234360204,2.999999999999999,2.450313115475644,1.9999999999999996,1.9999999999999978,1.7878622741171268,1.4457603628234348,1.3166470196851512,1.0411929709809615,6.696308473321783e-16,307980,7.313147066884712,8.74165738677394,0.08740959706477724,-0.0008985264166766503
"(0, 1, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 1), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.16107830156489,9.153318625031693,7.0002503594448395,5.688130233005324,4.021521236786367,3.135477377983178,2.77932555051591,2.394050069686849,1.9999999999999991,1.9051799490614996,1.8242872644179178,1.4199579440548786,1.3227928615543807,1.1946302268922522,-1.720816876456817e-15,323100,7.313147066884712,8.74165738677394,0.08740959706477724,-0.0008985264166766503
"(0, 6, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 6), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.160983790570242,9.294256347171881,7.623190441885429,5.676297396988178,3.8401658201159963,3.17628371833111,2.7329137848589857,2.000000000000002,1.9999999999999998,1.9061488192654177,1.7919864205376286,1.4451189851282242,1.3045342854504636,1.0481201896964585,2.7400163853726277e-15,245176,7.282393808814494,8.74165738677394,0.08740959706477724,-0.0008985264166766503
"(0, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 14), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.229913535610324,9.03283426332859,7.0223090120741585,5.754071460868652,4.0171720043018535,3.135374922456734,2.734501309021572,2.3906265588663764,2.0,1.9078302833782725,1.7945173872773277,1.4463465126360868,1.3375828916826258,1.1969198584974643,3.676213562803943e-16,324964,7.313147066884712,8.60555127546399,0.08740959706477724,-0.0008985264166766503
"(0, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (0, 13), (1, 2), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",10.257488975928124,9.034943290826616,6.979072326320145,5.672129409104477,3.9751776181666543,3.440503113753716,2.737163177476317,2.0,1.9999999999999996,1.9999999999999982,1.8972172788868855,1.6576555431801732,1.3098311781272884,1.0388180882296085,4.889649271097883e-16,313440,7.313147066884712,8.60555127546399,0.08740959706477724,-0.0008985264166766503
"(1, 3, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (1, 2), (1, 7), (1, 3), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",9.5379496991849,8.856689848522207,7.062593177890306,6.604714360146417,3.923215217317076,3.1316313921139507,2.7542325025252086,2.4733694595458497,1.9999999999999991,1.923925420498206,1.8228091088699332,1.4677451354858744,1.330238243929152,1.1108864339709252,-6.43006586928251e-16,334476,6.599805945957956,8.60555127546399,0.08740959706477724,-0.0008985264166766503
"(1, 6, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (1, 2), (1, 7), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",9.57147148665574,8.774187382099525,7.878021449210547,5.711986928742363,4.122721298790913,3.25407247244105,2.7878022431604292,2.328422474154743,2.000000000000001,1.9141078477613607,1.839257940138014,1.3619478085635006,1.311041014836058,1.1449596534457325,2.290890007070827e-16,315820,6.599805945957956,8.60555127546399,0.08740959706477724,-0.0008985264166766503
"(1, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (0, 12), (1, 2), (1, 7), (1, 11), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 10), (3, 11), (3, 12), (3, 14), (5, 6), (6, 7), (6, 9), (6, 10), (6, 13), (7, 14), (11, 13)]",9.592568020996145,8.774503770712448,6.997090911295864,5.828699164087837,4.662158136386433,3.299145246318602,2.729779785721573,2.3538557461889305,2.0000000000000004,1.9096117987534265,1.7869583326803933,1.5826736459291675,1.3365243972687713,1.1464310436604097,-3.6922812723197795e-15,374332,6.599805945957956,8.60555127546399,0.08740959706477724,-0.0008985264166766503
