basic_graph_collector,basic_span_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time,greedy_span_collector,greedy_edge_collector,greedy_time
"[(0, 3), (0, 4), (0, 9), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 9), (2, 8), (2, 6), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 8), (4, 9), (5, 7), (5, 9), (7, 8)]",17979,162080,"[(2, 9), (2, 8), (2, 6)]",0.005444765090942383,162080,"[(2, 9), (2, 8), (2, 6)]",0.24445033073425293,136498,"{(2, 7), (0, 1), (2, 9)}",0.15777850151062012,136498,"{(2, 7), (8, 9), (0, 2)}",0.04104185104370117
"[(0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 3), (1, 4), (1, 7), (1, 8), (1, 9), (2, 3), (2, 9), (2, 7), (2, 5), (3, 4), (3, 5), (3, 6), (3, 8), (4, 5), (4, 6), (4, 7), (6, 8), (6, 9), (8, 9)]",20473,187173,"[(2, 9), (2, 7), (2, 5)]",0.0023686885833740234,187173,"[(2, 9), (2, 7), (2, 5)]",0.1122596263885498,152880,"{(2, 7), (0, 1), (2, 9)}",0.16325592994689941,152880,"{(2, 8), (5, 9), (0, 2)}",0.0514674186706543
"[(0, 3), (0, 4), (0, 6), (0, 1), (1, 3), (1, 9), (1, 2), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 5), (4, 6), (4, 7), (4, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 9)]",17472,151525,"[(1, 9), (1, 2), (0, 1)]",0.0058252811431884766,151525,"[(1, 9), (1, 2), (1, 8)]",0.22158098220825195,151525,"{(0, 1), (1, 9), (1, 2)}",0.12819242477416992,151525,"{(0, 1), (1, 5), (2, 9)}",0.06581974029541016
"[(0, 3), (0, 9), (0, 7), (0, 1), (1, 3), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 5), (3, 6), (3, 8), (4, 6), (4, 7), (5, 8), (5, 9), (6, 9), (8, 9)]",22053,187595,"[(0, 9), (0, 7), (0, 1)]",0.00622105598449707,187848,"[(0, 9), (0, 7), (0, 8)]",0.21962928771972656,148530,"{(0, 9), (0, 1), (1, 2)}",0.1738576889038086,148530,"{(0, 1), (0, 6), (7, 9)}",0.09498953819274902
"[(0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (1, 3), (1, 4), (1, 7), (1, 8), (1, 6), (2, 3), (2, 6), (2, 7), (2, 9), (3, 4), (3, 5), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 6), (6, 8), (7, 9)]",39604,189824,"[(7, 9), (1, 8), (1, 6)]",0.034175872802734375,193741,"[(7, 8), (1, 9), (8, 9)]",0.23642468452453613,171849,"{(0, 1), (7, 8), (1, 2)}",0.1108546257019043,171849,"{(2, 8), (1, 8), (7, 9)}",0.04502749443054199
"[(0, 3), (0, 8), (0, 6), (0, 9), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (2, 7), (2, 9), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 6), (5, 7), (7, 8), (7, 9)]",18645,157016,"[(0, 8), (0, 6), (0, 9)]",0.007068634033203125,157176,"[(0, 9), (0, 6), (0, 1)]",0.3738880157470703,157016,"{(0, 9), (0, 8), (0, 1)}",0.11015558242797852,157016,"{(6, 9), (0, 8), (0, 5)}",0.04793190956115723
"[(0, 3), (0, 6), (0, 9), (0, 8), (1, 3), (1, 4), (1, 5), (1, 7), (1, 9), (2, 3), (2, 4), (2, 5), (2, 9), (3, 4), (4, 5), (4, 6), (4, 9), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (7, 9)]",33347,199645,"[(0, 9), (0, 8), (2, 9)]",0.004919528961181641,203188,"[(0, 9), (2, 8), (0, 8)]",0.22688841819763184,173325,"{(0, 9), (0, 1), (2, 7)}",0.11718082427978516,173325,"{(8, 9), (0, 2), (0, 7)}",0.04257631301879883
"[(0, 3), (0, 9), (0, 5), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 8), (2, 9), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 5), (4, 6), (4, 7), (4, 9), (6, 7), (6, 8), (6, 9)]",16974,136900,"[(0, 9), (0, 5), (1, 7)]",0.007521152496337891,144376,"[(0, 9), (0, 5), (0, 1)]",0.24230098724365234,144376,"{(0, 9), (0, 5), (0, 1)}",0.13030147552490234,144376,"{(1, 5), (0, 8), (0, 7)}",0.0475773811340332
"[(0, 3), (0, 5), (0, 8), (0, 1), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 5), (2, 9), (3, 4), (3, 6), (3, 7), (3, 8), (4, 5), (4, 7), (4, 8), (5, 6), (5, 7), (5, 9), (6, 9), (7, 9), (8, 9)]",35072,191240,"[(8, 9), (0, 1), (6, 9)]",0.008524894714355469,191240,"[(8, 9), (0, 1), (6, 9)]",0.3456382751464844,170412,"{(8, 9), (0, 1), (2, 7)}",0.08956670761108398,170412,"{(0, 9), (6, 8), (1, 9)}",0.04519081115722656
"[(0, 3), (0, 5), (0, 7), (0, 9), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 7), (2, 8), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (4, 9), (5, 6), (5, 7), (5, 8), (6, 9)]",26171,169830,"[(2, 7), (0, 9), (2, 8)]",0.004838705062866211,169830,"[(2, 7), (0, 9), (2, 8)]",0.11467766761779785,130303,"{(2, 7), (4, 7), (0, 1)}",0.11374711990356445,130303,"{(2, 6), (0, 2), (7, 9)}",0.043236732482910156
