basic_graph_collector,basic_span_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time,greedy_span_collector,greedy_edge_collector,greedy_time
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 13), (1, 2), (1, 6), (2, 3), (2, 14), (3, 4), (3, 7), (3, 10), (4, 5), (4, 7), (4, 9), (5, 6), (5, 8), (5, 9), (5, 11), (5, 12), (6, 10), (6, 14), (9, 11), (9, 12), (10, 14), (10, 11), (12, 13)]",712947640530,4076670476645,"[(1, 6, 2), (10, 11, 1), (2, 14, 1)]",0.05832481384277344,30844512588050,"[(1, 5, 4), (1, 14, 5), (7, 11, 5)]",0.40853190422058105,38927157331470,"{(7, 11), (1, 14), (1, 13)}",0.32230281829833984,38927157331470,"{(1, 13), (9, 14), (3, 11)}",0.15211009979248047
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 4), (1, 7), (1, 8), (1, 10), (1, 13), (2, 3), (2, 5), (3, 11), (4, 6), (5, 7), (5, 11), (5, 13), (6, 9), (7, 12), (7, 14), (8, 10), (8, 11), (8, 12), (8, 13), (10, 14), (11, 14)]",3714414370688,19115106107512,"[(5, 11, 1), (5, 13, 1), (11, 14, 5)]",0.0449213981628418,96235493792608,"[(9, 12, 5), (11, 14, 5), (4, 14, 5)]",0.43179750442504883,86002305571328,"{(6, 13), (10, 11), (9, 12)}",0.29602980613708496,86002305571328,"{(6, 12), (3, 14), (11, 13)}",0.15588164329528809
"[(0, 2), (0, 10), (1, 2), (1, 3), (1, 4), (1, 10), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 11), (2, 12), (2, 13), (2, 14), (3, 6), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (5, 8), (8, 10), (9, 10), (9, 13), (10, 11), (12, 14)]",30269262272,231234733968,"[(10, 11, 3), (0, 10, 1), (8, 10, 1)]",0.02131819725036621,513108892480,"[(10, 14, 5), (0, 10, 1), (6, 10, 3)]",0.2790358066558838,738642515772,"{(7, 12), (0, 8), (8, 12)}",0.32210850715637207,738642515772,"{(10, 13), (0, 8), (6, 7)}",0.15795397758483887
"[(0, 2), (0, 12), (0, 13), (0, 14), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 9), (1, 13), (2, 3), (2, 4), (3, 5), (3, 6), (3, 8), (3, 10), (5, 7), (5, 9), (5, 10), (5, 11), (5, 12), (6, 7), (6, 8), (6, 11), (6, 14), (7, 13), (10, 13), (10, 14)]",201259783008,1359567953544,"[(10, 13, 1), (7, 13, 1), (10, 14, 4)]",0.03524637222290039,9128234544816,"[(8, 9, 5), (11, 13, 5), (10, 14, 4)]",0.3690764904022217,4119715492268,"{(7, 11), (0, 10), (11, 13)}",0.3269481658935547,4119715492268,"{(13, 14), (9, 13), (0, 7)}",0.15799570083618164
"[(0, 2), (0, 3), (0, 4), (0, 11), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 13), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (3, 5), (3, 8), (3, 12), (5, 6), (5, 9), (5, 14), (6, 13), (7, 10), (8, 11), (9, 11), (10, 14), (11, 13), (13, 14)]",72914271891,1233208270374,"[(1, 13, 5), (10, 14, 4), (0, 11, 1)]",0.07322812080383301,3842827597506,"[(1, 13, 5), (4, 14, 5), (6, 10, 5)]",0.44260072708129883,3682480475688,"{(4, 12), (10, 11), (4, 14)}",0.2937154769897461,3682480475688,"{(12, 13), (4, 12), (10, 14)}",0.16513609886169434
"[(0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 4), (1, 6), (1, 10), (1, 13), (2, 3), (2, 7), (2, 10), (2, 12), (3, 7), (3, 8), (3, 9), (3, 11), (3, 13), (3, 14), (4, 5), (5, 6), (5, 7), (6, 11), (6, 12), (7, 8), (8, 9), (8, 12), (9, 14), (10, 14)]",89636006997,533396349288,"[(2, 12, 1), (10, 14, 1), (5, 7, 3)]",0.04057574272155762,4138283987707,"[(12, 14, 5), (5, 13, 5), (10, 11, 5)]",0.39708566665649414,2373436800819,"{(0, 10), (12, 14), (6, 13)}",0.31142473220825195,2373436800819,"{(7, 14), (8, 13), (0, 12)}",0.1542820930480957
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 10), (0, 13), (1, 2), (1, 3), (1, 8), (1, 12), (1, 14), (2, 9), (2, 11), (3, 4), (4, 5), (4, 7), (4, 9), (4, 11), (5, 6), (5, 12), (6, 14), (7, 10), (7, 13), (8, 14), (8, 9), (9, 13)]",3438065212050,53178855405660,"[(8, 9, 2), (9, 13, 5), (6, 14, 5)]",0.05851888656616211,107896811834500,"[(9, 13, 5), (10, 12, 5), (6, 14, 5)]",0.4089393615722656,52710376046282,"{(10, 11), (8, 12), (6, 14)}",0.28354620933532715,52710376046282,"{(12, 13), (6, 10), (0, 9)}",0.1521313190460205
"[(0, 2), (0, 3), (0, 4), (0, 7), (0, 10), (1, 2), (1, 12), (2, 3), (2, 4), (2, 9), (2, 14), (3, 5), (3, 6), (3, 8), (4, 5), (4, 6), (4, 7), (4, 11), (4, 12), (4, 13), (5, 8), (5, 10), (5, 13), (6, 9), (6, 11), (6, 14), (7, 9), (8, 11), (10, 11)]",1446302376400,21358959386200,"[(7, 9, 3), (8, 11, 1), (10, 11, 5)]",0.04551100730895996,48191621240960,"[(10, 11, 5), (9, 10, 5), (1, 7, 4)]",0.45371532440185547,55492866681600,"{(1, 10), (9, 11), (10, 11)}",0.3168480396270752,55492866681600,"{(1, 10), (9, 11), (3, 11)}",0.15347576141357422
"[(0, 2), (0, 3), (0, 4), (0, 10), (0, 12), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8), (1, 10), (1, 13), (2, 11), (3, 6), (3, 13), (4, 5), (4, 9), (5, 6), (5, 7), (5, 9), (5, 12), (5, 14), (6, 7), (6, 11), (6, 14), (7, 8), (10, 11), (11, 13), (13, 14)]",375973015232,5757972128576,"[(2, 11, 3), (13, 14, 3), (11, 13, 3)]",0.0591273307800293,17196645524512,"[(7, 13, 5), (8, 11, 5), (2, 14, 5)]",0.4443633556365967,7010040726048,"{(9, 13), (8, 11), (9, 11)}",0.3179781436920166,7010040726048,"{(2, 7), (2, 13), (8, 10)}",0.15082263946533203
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 12), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 11), (1, 13), (1, 14), (2, 4), (2, 7), (2, 10), (2, 9), (3, 13), (5, 8), (5, 9), (8, 9), (8, 10), (8, 11), (9, 13), (11, 12), (11, 14), (12, 13)]",19301519004,309952124708,"[(2, 9, 2), (9, 13, 1), (12, 13, 4)]",0.03136920928955078,1920017241269,"[(4, 9, 5), (10, 13, 5), (10, 14, 5)]",0.40046119689941406,1277928084604,"{(2, 14), (4, 9), (6, 13)}",0.2995021343231201,1277928084604,"{(13, 14), (4, 5), (0, 9)}",0.15174436569213867
