eigenvalue_1,eigenvalue_2,diff,span_trees
(10.236474293930748+0j),(7.487016023376939+0j),(2.7494582705538084+0j),436860
(10.23647429393078+0j),(7.4870160233769445+0j),(2.749458270553835+0j),436860
(10.21382288839468+0j),(7.490068670109081+0j),(2.7237542182856+0j),466288
(10.234899398979389+0j),(7.520404368870764+0j),(2.7144950301086244+0j),456796
(10.227733310327352+0j),(7.495625877755481+0j),(2.732107432571871+0j),445132
(10.235180826520091+0j),(7.517376038514697+0j),(2.7178047880053944+0j),464236
(10.213573592588073+0j),(7.4956127825938585+0j),(2.7179608099942145+0j),505872
(10.227733310327391+0j),(7.49562587775549+0j),(2.732107432571901+0j),445132
(10.234899398979385+0j),(7.520404368870763+0j),(2.7144950301086217+0j),456796
(10.2351808265201+0j),(7.517376038514702+0j),(2.717804788005398+0j),464236
