added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11)]",10.212851121480437,7.486309870347304,6.658898060692304,5.168470038489663,4.025168894825002,3.523106513096034,3.369479088854629,2.2145516690225198,2.0000000000000004,2.0,1.806338914907864,1.508046212521595,1.2741162494128464,0.7526633663498299,-2.283151778687896e-15,193968
"(4, 9, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (4, 9), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11)]",10.236474293930748,7.487016023376939,6.795995825899521,5.189438346572664,4.2079597997462,3.6472098619014206,3.376383736827659,3.151553141258335,2.2139611071549954,2.0000000000000004,1.8642412710648792,1.7346752927142606,1.293730778011955,0.8013605215404427,3.1448977183482104e-15,436860
"(4, 14, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (4, 14), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11)]",10.23647429393078,7.4870160233769445,6.79599582589952,5.18943834657265,4.20795979974619,3.647209861901421,3.37638373682765,3.1515531412583377,2.2139611071549963,2.0000000000000004,1.8642412710648797,1.7346752927142612,1.2937307780119542,0.8013605215404411,-1.0751092328325295e-15,436860
"(4, 11, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (4, 11), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11)]",10.21382288839468,7.490068670109081,6.810624012390493,5.2369681036974765,4.099898974143916,4.0197630244514775,3.454088087539991,2.5938584361044996,2.2127404962610044,1.9999999999999996,1.9999999999999996,1.5203282685764143,1.470545434511237,0.8772936038197132,-2.3610285420355874e-16,466288
"(8, 13, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (8, 13), (10, 11)]",10.234899398979389,7.520404368870764,6.6849491289631855,5.2847143650199095,4.252904194605031,3.7516139581963244,3.4745000769020997,2.916361567738667,2.1501393882146447,2.0,1.8157495626447788,1.5540352567295714,1.507929449761197,0.85179928337448,8.323255263775502e-17,456796
"(8, 11, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (8, 11), (10, 11)]",10.227733310327352,7.495625877755481,6.796031984953029,5.172148173631454,4.240487628154743,3.7662198893157455,3.508786600329036,2.8273804649641012,2.21252083100135,1.9999999999999993,1.8278998567469604,1.6887275342475356,1.443019755117347,0.7934180934558367,-6.791444870941266e-16,445132
"(9, 13, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (9, 13), (10, 11)]",10.235180826520091,7.517376038514697,6.6997007674104125,5.24902472100636,4.263027217549113,3.7696149837282524,3.4375092515240175,2.9780710159593484,2.1589374228994265,1.999999999999999,1.8646706805339897,1.5784756889222278,1.3056376544460437,0.9427737309860423,-2.027748534464394e-15,464236
"(11, 13, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11), (11, 13)]",10.213573592588073,7.4956127825938585,6.709870962277747,5.340839555625492,4.237549499239333,4.022939406418304,3.5206356314163516,2.4992492610850228,2.0,1.9999999999999982,1.808693449905614,1.6970504418326495,1.2878377456082142,1.1661476714093815,-8.500061892127491e-16,505872
"(11, 12, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11), (11, 12)]",10.227733310327391,7.49562587775549,6.796031984953017,5.1721481736314505,4.240487628154747,3.766219889315746,3.50878660032903,2.827380464964096,2.2125208310013478,1.9999999999999996,1.827899856746959,1.6887275342475352,1.4430197551173476,0.7934180934558372,9.165210601725578e-16,445132
"(12, 13, 1)","[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 5), (1, 13), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (2, 12), (2, 14), (3, 4), (3, 8), (3, 10), (3, 12), (5, 7), (6, 9), (6, 10), (6, 11), (6, 14), (7, 13), (10, 11), (12, 13)]",10.234899398979385,7.520404368870763,6.684949128963182,5.284714365019914,4.252904194605032,3.75161395819632,3.474500076902099,2.9163615677386723,2.1501393882146465,1.9999999999999998,1.8157495626447788,1.55403525672957,1.5079294497611968,0.8517992833744819,1.2443033631585057e-15,456796
