basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 3), (1, 8), (2, 4), (2, 5), (2, 7), (2, 9), (3, 4), (3, 5), (3, 6), (3, 7), (4, 8), (5, 6), (5, 8), (6, 9), (7, 9)]",1776,16524,"[((1, 8, 1), (7, 9, 1), (8, 9, 1))]",16011,"[(1, 8), (7, 9), (5, 8)]",0.017151355743408203,15954,"[(8, 9), (1, 7), (7, 8)]",0.27073168754577637,15034,"{(8, 9), (5, 7), (0, 1)}",0.13000130653381348
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (1, 2), (1, 4), (1, 6), (2, 3), (2, 6), (2, 7), (2, 8), (2, 9), (3, 4), (3, 5), (3, 6), (5, 9), (7, 8), (7, 9)]",848,11948,"[((1, 4, 1), (1, 8, 1), (5, 9, 1))]",11580,"[(1, 4), (5, 9), (1, 6)]",0.007448673248291016,11948,"[(1, 4), (5, 8), (1, 9)]",0.3852677345275879,9992,"{(6, 9), (5, 7), (1, 4)}",0.13698053359985352
"[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 5), (1, 7), (2, 4), (2, 6), (3, 4), (3, 6), (3, 8), (3, 9), (4, 5), (4, 8), (5, 9), (6, 7), (6, 9), (7, 8)]",1800,18721,"[((0, 5, 1), (5, 9, 1), (7, 8, 1))]",18721,"[(0, 7), (5, 9), (7, 8)]",0.02453470230102539,18721,"[(7, 8), (5, 9), (0, 5)]",0.38350605964660645,12520,"{(0, 1), (7, 8), (2, 7)}",0.13135790824890137
"[(0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 6), (2, 8), (2, 9), (3, 6), (3, 7), (4, 5), (4, 8), (4, 9), (5, 9), (6, 7), (6, 8), (7, 9)]",1760,19026,"[((2, 8, 1), (2, 9, 1), (7, 9, 1))]",19026,"[(7, 9), (2, 8), (2, 9)]",0.00563812255859375,19026,"[(7, 9), (2, 8), (2, 9)]",0.24112439155578613,17024,"{(2, 7), (2, 5), (7, 9)}",0.12262487411499023
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 5), (1, 7), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 4), (4, 8), (5, 7), (6, 9)]",1008,9749,"[((3, 8, 1), (4, 5, 1), (6, 7, 1))]",9744,"[(6, 9), (4, 8), (5, 7)]",0.04324150085449219,9744,"[(6, 8), (4, 5), (7, 9)]",0.27269434928894043,7440,"{(0, 1), (4, 7), (5, 7)}",0.14118742942810059
