basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 5), (1, 6), (2, 3), (2, 4), (2, 7), (2, 9), (3, 4), (3, 5), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9)]",1696,16332,"[((0, 9, 1), (4, 8, 1), (5, 7, 1))]",16332,"[(0, 8), (4, 7), (5, 9)]",0.018414735794067383,16332,"[(4, 8), (0, 9), (5, 7)]",0.2603609561920166,13647,"{(0, 1), (0, 8), (5, 7)}",0.13040494918823242
"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 7), (1, 6), (2, 3), (2, 4), (2, 6), (2, 8), (2, 9), (3, 4), (3, 7), (3, 8), (4, 5), (5, 7), (5, 9), (8, 9)]",1112,14776,"[((1, 6, 1), (1, 7, 1), (5, 9, 1))]",14776,"[(1, 7), (1, 6), (5, 9)]",0.01892232894897461,14341,"[(1, 7), (1, 9), (6, 7)]",0.1281890869140625,13888,"{(6, 9), (1, 8), (1, 7)}",0.14397597312927246
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 8), (1, 6), (2, 3), (2, 4), (2, 5), (2, 9), (3, 4), (3, 5), (3, 6), (3, 8), (4, 6), (4, 7), (4, 8), (5, 7), (7, 9)]",944,13765,"[((1, 8, 1), (1, 7, 1), (6, 9, 1))]",13704,"[(1, 8), (7, 9), (1, 6)]",0.01923656463623047,13765,"[(1, 7), (8, 9), (1, 6)]",0.26020193099975586,12428,"{(0, 1), (6, 9), (1, 7)}",0.13596320152282715
"[(0, 2), (0, 6), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 9), (2, 3), (2, 4), (2, 5), (3, 7), (4, 9), (5, 8), (6, 7), (6, 8), (7, 9)]",1695,17095,"[((0, 9, 1), (4, 8, 1), (7, 9, 1))]",16389,"[(7, 9), (0, 8), (0, 9)]",0.00806283950805664,16710,"[(8, 9), (0, 7), (7, 9)]",0.25350141525268555,13189,"{(0, 1), (5, 7), (7, 9)}",0.12264442443847656
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 7), (3, 4), (3, 6), (4, 5), (4, 7), (4, 8), (5, 9), (6, 9), (8, 9)]",1432,14955,"[((2, 7, 1), (6, 9, 1), (8, 9, 1))]",14955,"[(8, 9), (2, 7), (6, 9)]",0.01927351951599121,14955,"[(8, 9), (2, 7), (6, 9)]",0.2683250904083252,12747,"{(8, 9), (5, 7), (2, 7)}",0.12871527671813965
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (1, 2), (1, 4), (1, 6), (1, 7), (2, 3), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 7), (6, 8), (7, 9)]",1515,14934,"[((3, 9, 1), (3, 8, 1), (6, 7, 1))]",14685,"[(3, 9), (6, 8), (1, 7)]",0.00744175910949707,14846,"[(3, 9), (6, 8), (6, 7)]",0.22705721855163574,13421,"{(2, 7), (6, 9), (3, 9)}",0.1410055160522461
"[(0, 2), (0, 4), (0, 5), (0, 9), (1, 2), (1, 3), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 4), (3, 9), (4, 8), (5, 7), (6, 8), (7, 8), (8, 9)]",1800,18106,"[((5, 8, 1), (7, 8, 1), (7, 9, 1))]",17649,"[(8, 9), (5, 7), (7, 8)]",0.008890628814697266,17649,"[(8, 9), (5, 7), (7, 8)]",0.2561182975769043,13807,"{(0, 1), (5, 7), (7, 8)}",0.13411974906921387
"[(0, 2), (0, 7), (0, 5), (0, 8), (1, 2), (1, 3), (1, 4), (1, 6), (1, 8), (2, 3), (2, 4), (3, 5), (3, 8), (4, 5), (4, 6), (5, 9), (6, 7), (7, 9), (8, 9)]",2093,19203,"[((0, 5, 1), (0, 8, 1), (5, 9, 1))]",19203,"[(0, 5), (5, 9), (0, 8)]",0.004002571105957031,19203,"[(5, 9), (0, 8), (0, 5)]",0.23764920234680176,16225,"{(0, 1), (5, 9), (2, 7)}",0.11128711700439453
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 5), (4, 6), (5, 8), (6, 7), (8, 9)]",1034,12656,"[((1, 4, 1), (1, 9, 1), (7, 9, 1))]",11914,"[(1, 9), (1, 7), (4, 6)]",0.008077859878540039,12439,"[(1, 9), (1, 7), (4, 8)]",0.2442779541015625,11328,"{(4, 7), (5, 7), (1, 9)}",0.12216925621032715
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (0, 8), (0, 9), (1, 2), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 8), (3, 7), (4, 5), (4, 6), (5, 8), (6, 9)]",891,12479,"[((1, 9, 1), (1, 8, 1), (5, 7, 1))]",12365,"[(1, 9), (1, 7), (5, 8)]",0.011096715927124023,12365,"[(1, 9), (1, 7), (5, 8)]",0.23434019088745117,11801,"{(1, 3), (5, 7), (1, 9)}",0.14479494094848633
