added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054244372443643,7.400116083425324,6.018604161293707,5.33155917403175,3.918777346043446,3.504822514782663,2.4034691971094255,2.000000000000001,2.0000000000000004,1.9999999999999998,1.9999999999999996,1.3291342293930795,1.1225430479266587,0.9167298735503281,1.8100229712603923e-15,137856
"(0, 7, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 7), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054474727794346,7.507356909626251,6.945483131398841,5.36774844979873,3.948059875663265,3.5050301384437192,2.710484958195691,2.3850738211447164,2.0000000000000004,2.0,2.0,1.3996121359756126,1.2318301070131072,0.9448457449457395,-6.61053286371323e-16,262224
"(0, 4, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 4), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054931172868905,8.50545741757221,6.59649061615191,5.3680291220104035,3.919058888074298,3.504835733228927,2.416764954626758,2.0000000000000004,1.9999999999999998,1.9999999999999991,1.999999999999999,1.4562486846194738,1.2112653183734001,0.9669180924737377,1.4681278539431406e-15,219264
"(0, 1, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 1), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054641467934433,8.068113685383985,6.8472130857875415,5.481341171187246,4.002194885306514,3.5222151705210716,2.423924273747808,2.0000000000000013,1.9999999999999998,1.9999999999999998,1.9999999999999996,1.3664439320486657,1.1312548640557625,1.102657464027008,8.759833837834594e-16,226768
"(0, 6, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 6), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.07370733048882,7.406404324144135,7.032899723651041,5.36625439686089,3.9347952270658655,3.8045251743256596,2.4070890382996457,2.000000000000003,2.0,2.0,1.9999999999999991,1.5526054498941155,1.3066527740389495,1.1150665612308919,-1.997284148471615e-15,293440
"(0, 9, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 9), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054474727794352,7.50735690962626,6.945483131398842,5.367748449798736,3.948059875663268,3.5050301384437166,2.7104849581956905,2.3850738211447164,2.0,1.9999999999999998,1.9999999999999987,1.3996121359756128,1.2318301070131064,0.9448457449457405,-1.6048596022349273e-16,262224
"(0, 3, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 3), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054284259813668,7.429135489481511,7.121874141147042,5.416150879923818,4.0098056012118874,3.876756435592535,2.405361583892073,2.0000000000000027,2.0000000000000018,1.9999999999999998,1.9999999999999996,1.3342083179209256,1.2300166208650114,1.122406670151531,-1.5316482386980382e-15,253776
"(0, 11, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054245733108829,7.6122840716978795,6.949926800788469,5.351187289173589,4.1424626431618945,3.5206424280854574,2.8107649950313935,2.0000000000000018,2.0000000000000013,2.000000000000001,1.9999999999999996,1.46882736011005,1.132843125023222,0.9568155538192267,-1.919539292987228e-15,237568
"(0, 8, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 8), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.054474727794357,7.5073569096262585,6.945483131398849,5.367748449798722,3.9480598756632643,3.5050301384437157,2.710484958195693,2.3850738211447142,1.9999999999999993,1.9999999999999991,1.9999999999999987,1.3996121359756124,1.231830107013106,0.9448457449457426,-2.584275159611694e-16,262224
"(0, 13, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (0, 13), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.074604612568438,7.469014601539914,6.96362683358776,5.4471071446550186,4.347745501890205,3.506043831657231,2.5195592720943765,2.000000000000001,1.9999999999999998,1.9999999999999996,1.9999999999999991,1.5889021240907504,1.1321873099392652,0.9512087679770235,-5.604765653179795e-16,239808
"(1, 11, 1)","[(0, 2), (0, 5), (0, 10), (0, 12), (0, 14), (1, 2), (1, 3), (1, 4), (1, 6), (1, 13), (1, 11), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 6), (4, 7), (4, 8), (4, 9), (4, 11), (11, 13), (13, 14)]",12.05466273639056,7.547934953040123,6.381648740909135,6.013891379436837,4.420017854030634,3.5402138249218886,2.5808782982690435,2.000000000000001,2.0,2.0,1.999999999999999,1.3864686511940159,1.1299535953746112,0.9443299664332115,3.68743303354428e-16,222544
