added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 2), (0, 6), (0, 7), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (9, 14), (11, 12)]","[ 1.03448620e+01  9.12044168e+00  7.55761845e+00  4.32174614e+00
  3.72741886e+00  3.50655354e+00  3.35807275e+00  2.62756352e+00
  2.00000000e+00  1.89259348e+00  1.78604634e+00  1.53584609e+00
  1.24906240e+00  9.72174739e-01 -4.79708130e-16]",298732
"(0, 10, 1)","[(0, 2), (0, 6), (0, 10), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (9, 14), (11, 12)]","[ 1.03459978e+01  9.10600284e+00  7.54625426e+00  4.48754532e+00
  3.86639882e+00  3.42928839e+00  3.20765391e+00  2.44589523e+00
  2.00000000e+00  1.88960086e+00  1.79599278e+00  1.52004089e+00
  1.38774764e+00  9.71581251e-01 -4.84777933e-16]",307776
"(5, 14, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (5, 14), (6, 14), (9, 14), (11, 12)]","[ 1.03212767e+01  9.12698286e+00  7.57715365e+00  4.54728362e+00
  3.54979100e+00  3.38888217e+00  3.29321187e+00  2.79851252e+00
  2.00000000e+00  1.88171378e+00  1.63642868e+00  1.51294220e+00
  1.25232552e+00  1.11349546e+00 -9.51425821e-16]",311704
"(7, 12, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (7, 12), (9, 14), (11, 12)]","[1.03442206e+01 9.12509448e+00 7.56745864e+00 4.25437851e+00
 3.72757925e+00 3.49750861e+00 3.14581506e+00 3.00000000e+00
 2.00000000e+00 1.88594837e+00 1.71237180e+00 1.54356144e+00
 1.26695624e+00 9.29107009e-01 2.23437219e-15]",292536
"(7, 14, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (7, 14), (9, 14), (11, 12)]","[ 1.03318726e+01  9.09868269e+00  7.61188008e+00  4.48909211e+00
  3.53449268e+00  3.38526281e+00  3.20722789e+00  3.00000000e+00
  2.00000000e+00  1.88207870e+00  1.57149352e+00  1.52091629e+00
  1.24837259e+00  1.11862800e+00 -2.16458412e-15]",309744
"(8, 10, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (8, 10), (9, 14), (11, 12)]","[1.03433858e+01 9.09737689e+00 7.59941504e+00 4.19669657e+00
 4.03698258e+00 3.37147359e+00 3.13321817e+00 2.84388451e+00
 1.90071442e+00 1.86926234e+00 1.72670576e+00 1.52836179e+00
 1.42973127e+00 9.22791250e-01 6.38296913e-17]",300154
"(8, 14, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (8, 14), (9, 14), (11, 12)]","[ 1.03124749e+01  9.09846481e+00  7.64000359e+00  4.57415420e+00
  3.53420230e+00  3.38035095e+00  3.23241599e+00  2.82119911e+00
  1.90334055e+00  1.87191055e+00  1.71530415e+00  1.50868777e+00
  1.27464353e+00  1.13284757e+00 -2.65324289e-15]",317074
"(10, 13, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (9, 14), (10, 13), (11, 12)]","[1.03433858e+01 9.09737689e+00 7.59941504e+00 4.19669657e+00
 4.03698258e+00 3.37147359e+00 3.13321817e+00 2.84388451e+00
 1.90071442e+00 1.86926234e+00 1.72670576e+00 1.52836179e+00
 1.42973127e+00 9.22791250e-01 1.74580237e-15]",300154
"(10, 14, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (9, 14), (10, 14), (11, 12)]","[1.03328530e+01 9.09766722e+00 7.54692920e+00 4.72860312e+00
 3.78805698e+00 3.37828093e+00 3.17018941e+00 2.23937127e+00
 2.00000000e+00 1.86422596e+00 1.79752366e+00 1.53460306e+00
 1.46186857e+00 1.05982767e+00 2.82629627e-15]",323764
"(10, 12, 1)","[(0, 2), (0, 6), (1, 2), (1, 3), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 11), (4, 7), (4, 8), (4, 9), (4, 11), (4, 13), (6, 14), (9, 14), (10, 12), (11, 12)]","[ 1.03452788e+01  9.10890955e+00  7.54270442e+00  4.43474471e+00
  3.96520146e+00  3.47258794e+00  3.15058138e+00  2.32979606e+00
  2.00000000e+00  1.89308636e+00  1.84448162e+00  1.53482588e+00
  1.45278549e+00  9.25016290e-01 -1.15797060e-15]",305932
