added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 7), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.77444304e+00 7.46785588e+00 6.78306745e+00 6.12982956e+00
 4.89072508e+00 3.84573654e+00 3.20363556e+00 2.96433585e+00
 2.52069701e+00 2.00000000e+00 1.65461718e+00 1.43439144e+00
 1.28955698e+00 1.04110843e+00 9.46404600e-16]",521164
"(0, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 10), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.65196408e+00  7.46741069e+00  6.57325198e+00  6.01388821e+00
  4.75138488e+00  3.83863855e+00  3.72460361e+00  2.96244783e+00
  2.50326333e+00  2.00000000e+00  1.69927870e+00  1.43137869e+00
  1.24772693e+00  1.13476252e+00 -1.25145450e-15]",590796
"(0, 12, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 12), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.54820628e+00  7.50225977e+00  6.49709065e+00  6.05650183e+00
  5.13145158e+00  3.83020709e+00  3.27718938e+00  3.11408447e+00
  2.54695330e+00  2.00000000e+00  1.69418845e+00  1.43813026e+00
  1.39634688e+00  9.67390053e-01 -1.70757076e-15]",565740
"(0, 1, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 1), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.54085997e+00 7.54717737e+00 6.83666596e+00 6.49692223e+00
 4.61666716e+00 3.83016368e+00 3.18112344e+00 3.03178145e+00
 2.51382598e+00 2.00000000e+00 1.64936879e+00 1.48429826e+00
 1.25150177e+00 1.01964394e+00 1.11257937e-15]",511276
"(0, 6, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 6), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.68213028e+00  7.26661332e+00  6.50090971e+00  6.13515188e+00
  4.83899772e+00  3.96815244e+00  3.14955541e+00  3.00000000e+00
  2.52387940e+00  2.06494030e+00  2.00000000e+00  1.63336545e+00
  1.24233074e+00  9.93973347e-01 -1.85562290e-15]",639856
"(0, 9, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 9), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.55862966e+00  7.22911183e+00  6.64898103e+00  6.22598953e+00
  4.84336954e+00  3.87501891e+00  3.16319484e+00  2.97354023e+00
  2.69102938e+00  2.05666071e+00  2.00000000e+00  1.44210072e+00
  1.23980219e+00  1.05257143e+00 -2.62198439e-15]",627904
"(0, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 14), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.59778089e+00 7.30741690e+00 6.61020430e+00 6.24365880e+00
 4.64243122e+00 3.83552014e+00 3.27886922e+00 3.10282301e+00
 2.52314397e+00 2.00000000e+00 1.86370881e+00 1.59693921e+00
 1.41781462e+00 9.79688907e-01 1.11446131e-15]",653296
"(0, 5, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 5), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.52293144e+00 7.46627560e+00 6.68875406e+00 6.20811447e+00
 5.01260217e+00 4.10437573e+00 3.12282134e+00 2.96802507e+00
 2.49955037e+00 2.00000000e+00 1.64925552e+00 1.50852989e+00
 1.24491599e+00 1.00384835e+00 6.82474392e-16]",522124
"(0, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (0, 13), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.56459290e+00  7.11134598e+00  6.56630154e+00  6.43119948e+00
  4.93561495e+00  3.84896529e+00  3.20898667e+00  2.98733544e+00
  2.53630664e+00  2.00000000e+00  1.90132579e+00  1.45731025e+00
  1.34498305e+00  1.10573203e+00 -3.31833744e-16]",652716
"(1, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 11), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.60874712e+00  7.30728003e+00  6.50196084e+00  6.11454302e+00
  4.89900898e+00  3.83193269e+00  3.31477279e+00  3.11647190e+00
  2.53997799e+00  2.32967650e+00  1.63529163e+00  1.47041258e+00
  1.25563182e+00  1.07429209e+00 -1.84266864e-15]",620584
"(1, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 14), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.67937355e+00 7.12726458e+00 6.60628147e+00 6.15474077e+00
 4.64657476e+00 3.85197490e+00 3.69968575e+00 3.12074918e+00
 2.49950963e+00 2.00000000e+00 1.70455233e+00 1.62591260e+00
 1.35158998e+00 9.31790505e-01 2.72476467e-16]",604620
"(1, 4, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 4), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.58844691e+00 7.48814809e+00 6.54913267e+00 6.04313660e+00
 4.83254549e+00 3.93506359e+00 3.37212374e+00 3.02733498e+00
 2.82671288e+00 2.00000000e+00 1.66004499e+00 1.47166764e+00
 1.23900519e+00 9.66637217e-01 6.66511016e-16]",544896
"(1, 9, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 9), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.63079620e+00 7.10092455e+00 6.66903977e+00 6.22551240e+00
 4.83577857e+00 3.87832667e+00 3.13098975e+00 3.05951865e+00
 2.59260358e+00 2.22775669e+00 2.00000000e+00 1.46853414e+00
 1.24084894e+00 9.39370087e-01 3.32317048e-16]",602604
"(1, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 7), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.89482528e+00 7.28871263e+00 6.80086595e+00 6.06687590e+00
 4.91333836e+00 3.84872792e+00 3.18893304e+00 3.09336273e+00
 2.55725949e+00 2.00000000e+00 1.69139647e+00 1.48049437e+00
 1.24280849e+00 9.32399378e-01 3.79752602e-16]",493696
"(1, 5, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 5), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.51411616e+00  7.37059452e+00  6.71725245e+00  6.21158691e+00
  5.04322130e+00  4.13974240e+00  3.16591472e+00  3.05792182e+00
  2.51072434e+00  2.00000000e+00  1.66519798e+00  1.43278533e+00
  1.23946855e+00  9.31473532e-01 -2.18478083e-15]",488016
"(1, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 13), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[8.63488498e+00 6.95659192e+00 6.53347403e+00 6.33882763e+00
 5.02633137e+00 3.86415036e+00 3.50191094e+00 3.04260694e+00
 2.50016422e+00 2.00000000e+00 1.78805496e+00 1.53573845e+00
 1.31420115e+00 9.63063053e-01 4.85504639e-17]",596464
"(1, 8, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (1, 8), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.60874712e+00  7.30728003e+00  6.50196084e+00  6.11454302e+00
  4.89900898e+00  3.83193269e+00  3.31477279e+00  3.11647190e+00
  2.53997799e+00  2.32967650e+00  1.63529163e+00  1.47041258e+00
  1.25563182e+00  1.07429209e+00 -8.96833029e-16]",620584
"(2, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 13), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.40303326e+00  6.89064101e+00  6.54890969e+00  5.89037124e+00
  4.65509334e+00  3.93817694e+00  3.32177617e+00  3.02764251e+00
  2.51890011e+00  2.00000000e+00  1.89547714e+00  1.49926877e+00
  1.35723236e+00  1.05347745e+00 -4.18619253e-16]",628876
"(2, 6, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 6), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.22550329e+00  7.07346267e+00  6.55025639e+00  5.94236253e+00
  4.61650453e+00  4.11886544e+00  3.14117698e+00  3.06766153e+00
  2.50597727e+00  2.00000000e+00  1.91389098e+00  1.62831933e+00
  1.23893357e+00  9.77085496e-01 -4.85536161e-16]",586656
"(2, 3, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 3), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.18315719e+00  7.71139583e+00  6.54762662e+00  5.89217917e+00
  4.83576138e+00  3.84780075e+00  3.14985391e+00  2.96354473e+00
  2.51604533e+00  2.00000000e+00  1.65285255e+00  1.43313212e+00
  1.26626804e+00  1.00038238e+00 -5.70383568e-16]",477676
"(2, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 14), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.34608651e+00  6.95890360e+00  6.49891435e+00  5.89061741e+00
  4.72485907e+00  3.88121872e+00  3.38596042e+00  3.11937071e+00
  2.50795178e+00  2.00000000e+00  1.73017832e+00  1.59713081e+00
  1.39101518e+00  9.67793105e-01 -2.84433468e-16]",599904
"(2, 9, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 9), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.41866245e+00  6.91003548e+00  6.49757833e+00  5.90252033e+00
  4.61904769e+00  3.98063240e+00  3.14359711e+00  2.96093865e+00
  2.71285790e+00  2.14968776e+00  2.00000000e+00  1.45120114e+00
  1.24119232e+00  1.01204844e+00 -5.11813347e-16]",605520
"(2, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 10), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 9.32704324e+00  7.11262207e+00  6.49698812e+00  5.98530484e+00
  4.63474364e+00  3.84572834e+00  3.65876799e+00  2.95656097e+00
  2.50884397e+00  2.00000000e+00  1.68054194e+00  1.44499003e+00
  1.27660138e+00  1.07126346e+00 -1.03602852e-15]",552556
"(2, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (2, 7), (3, 5), (3, 9), (3, 13), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[9.34039226e+00 7.35863909e+00 6.81719489e+00 5.88959204e+00
 4.64546528e+00 3.83241578e+00 3.21049626e+00 3.00000000e+00
 2.53282504e+00 2.00000000e+00 1.66930208e+00 1.44764595e+00
 1.24786652e+00 1.00816481e+00 2.17601008e-15]",485836
"(3, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (0, 11), (1, 2), (1, 3), (1, 6), (1, 10), (1, 12), (2, 4), (2, 5), (2, 8), (2, 11), (2, 12), (3, 5), (3, 9), (3, 13), (3, 7), (4, 7), (5, 6), (5, 7), (7, 9), (7, 10), (7, 14), (10, 13), (12, 14)]","[ 8.57453966e+00  7.86275789e+00  6.61268518e+00  5.88829769e+00
  5.09729948e+00  3.83958043e+00  3.29044104e+00  2.96773803e+00
  2.57424361e+00  2.00000000e+00  1.63643130e+00  1.43783476e+00
  1.28689383e+00  9.31257101e-01 -5.58890520e-16]",485584
