added,edges,eigenvalues,span_trees
"(5, 13, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 13), (6, 13)]","[7.13572888e+00 5.16223104e+00 3.81411579e+00 3.21021566e+00
 2.63612068e+00 1.65140069e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 8.68765648e-01
 3.40803782e-01 1.80617840e-01 5.06666283e-16]",7
"(5, 8, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 8), (6, 13)]","[ 7.13586009e+00  5.23977936e+00  3.54349215e+00  3.37567974e+00
  2.46268273e+00  1.85762589e+00  1.31888216e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.14622978e-01
  2.95543057e-01  2.55831850e-01 -4.87594274e-16]",7
"(5, 11, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 11), (6, 13)]","[7.16484862e+00 5.16214546e+00 3.61803399e+00 3.36677827e+00
 2.39209024e+00 1.87103155e+00 1.38196601e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.82730829e-01
 3.12649818e-01 1.47725219e-01 5.41600856e-16]",5
"(5, 14, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 14), (6, 13)]","[7.16484862e+00 5.16214546e+00 3.61803399e+00 3.36677827e+00
 2.39209024e+00 1.87103155e+00 1.38196601e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.82730829e-01
 3.12649818e-01 1.47725219e-01 8.25497308e-16]",5
"(5, 9, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 9), (6, 13)]","[ 7.13586009e+00  5.23977936e+00  3.54349215e+00  3.37567974e+00
  2.46268273e+00  1.85762589e+00  1.31888216e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.14622978e-01
  2.95543057e-01  2.55831850e-01 -1.10036584e-16]",7
"(5, 12, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 12), (6, 13)]","[7.16484862e+00 5.16214546e+00 3.61803399e+00 3.36677827e+00
 2.39209024e+00 1.87103155e+00 1.38196601e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.82730829e-01
 3.12649818e-01 1.47725219e-01 5.78870045e-16]",5
"(5, 10, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 10), (6, 13)]","[ 7.16484862e+00+0.00000000e+00j  5.16214546e+00+0.00000000e+00j
  3.61803399e+00+0.00000000e+00j  3.36677827e+00+0.00000000e+00j
  2.39209024e+00+0.00000000e+00j  1.87103155e+00+0.00000000e+00j
  1.38196601e+00+0.00000000e+00j  1.00000000e+00+0.00000000e+00j
  1.00000000e+00+1.09887698e-16j  1.00000000e+00+0.00000000e+00j
  1.00000000e+00-1.09887698e-16j  5.82730829e-01+0.00000000e+00j
  3.12649818e-01+0.00000000e+00j  1.47725219e-01+0.00000000e+00j
 -1.20235430e-16+0.00000000e+00j]",5
"(5, 7, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (5, 7), (6, 13)]","[7.13586009e+00 5.23977936e+00 3.54349215e+00 3.37567974e+00
 2.46268273e+00 1.85762589e+00 1.31888216e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.14622978e-01
 2.95543057e-01 2.55831850e-01 1.66920351e-16]",7
"(7, 12, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (6, 13), (7, 12)]","[ 7.16133324e+00  5.26091942e+00  3.40821126e+00  3.16071444e+00
  2.70028364e+00  1.89270926e+00  1.50114339e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.03102281e-01
  3.31129590e-01  1.80453473e-01 -5.94324809e-17]",5
"(7, 11, 1)","[(0, 1), (0, 2), (0, 10), (0, 11), (0, 12), (0, 14), (1, 4), (2, 3), (2, 6), (3, 7), (3, 8), (3, 9), (4, 5), (6, 13), (7, 11)]","[7.16133324e+00 5.26091942e+00 3.40821126e+00 3.16071444e+00
 2.70028364e+00 1.89270926e+00 1.50114339e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 4.03102281e-01
 3.31129590e-01 1.80453473e-01 7.98135415e-18]",5
