added,edges,eigenvalues,span_trees
"(3, 7, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 7), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.91546664e+00  5.43123469e+00  4.28831743e+00  2.81070554e+00
  2.41782633e+00  2.37252351e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.42951102e-01  5.60817230e-01
  3.99946700e-01  1.60210832e-01 -5.12140446e-16]",4
"(3, 10, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 10), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.86913272e+00  5.48586235e+00  4.29996528e+00  3.07680324e+00
  2.37639307e+00  2.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.80096133e-01  5.83024992e-01
  3.83576507e-01  1.45145707e-01 -5.41271655e-19]",4
"(3, 9, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 9), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.84933043e+00  5.54492594e+00  4.29807825e+00  2.83066585e+00
  2.42938798e+00  2.24045144e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.60584010e-01  5.59821198e-01
  3.67075571e-01  2.19679321e-01 -4.15933221e-16]",5
"(3, 12, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 12), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.84933043e+00  5.54492594e+00  4.29807825e+00  2.83066585e+00
  2.42938798e+00  2.24045144e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.60584010e-01  5.59821198e-01
  3.67075571e-01  2.19679321e-01 -3.52352986e-16]",5
"(3, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 11), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.86482700e+00  5.44494152e+00  4.34176602e+00  3.17879543e+00
  2.44849103e+00  1.79484392e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.34585395e-01  5.30134408e-01
  4.17383793e-01  2.44231472e-01 -1.37442059e-15]",6
"(3, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 14), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.84490026e+00  5.42487116e+00  4.27226334e+00  3.00000000e+00
  2.45869005e+00  2.37555627e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  5.86773021e-01  5.27347317e-01
  3.67075458e-01  1.42523133e-01 -8.80576012e-16]",3
"(3, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 6), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.91546664e+00+0.00000000e+00j  5.43123469e+00+0.00000000e+00j
  4.28831743e+00+0.00000000e+00j  2.81070554e+00+0.00000000e+00j
  2.41782633e+00+0.00000000e+00j  2.37252351e+00+0.00000000e+00j
  1.00000000e+00+7.28575125e-17j  1.00000000e+00-7.28575125e-17j
  1.00000000e+00+0.00000000e+00j  1.00000000e+00+0.00000000e+00j
  6.42951102e-01+0.00000000e+00j  5.60817230e-01+0.00000000e+00j
  3.99946700e-01+0.00000000e+00j  1.60210832e-01+0.00000000e+00j
 -7.68746297e-16+0.00000000e+00j]",4
"(3, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 13), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.91546664e+00  5.43123469e+00  4.28831743e+00  2.81070554e+00
  2.41782633e+00  2.37252351e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.42951102e-01  5.60817230e-01
  3.99946700e-01  1.60210832e-01 -7.04220561e-16]",4
"(3, 5, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (3, 5), (4, 8), (4, 9), (4, 12), (8, 11)]","[ 6.84490026e+00  5.42487116e+00  4.27226334e+00  3.00000000e+00
  2.45869005e+00  2.37555627e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  5.86773021e-01  5.27347317e-01
  3.67075458e-01  1.42523133e-01 -8.87346807e-17]",3
"(5, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (4, 8), (4, 9), (4, 12), (5, 13), (8, 11)]","[ 6.91546664e+00  5.43123469e+00  4.28831743e+00  2.81070554e+00
  2.41782633e+00  2.37252351e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.42951102e-01  5.60817230e-01
  3.99946700e-01  1.60210832e-01 -5.46523934e-16]",4
"(5, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 14), (1, 4), (1, 6), (1, 7), (1, 13), (2, 10), (4, 8), (4, 9), (4, 12), (5, 11), (8, 11)]","[ 6.86482700e+00  5.44494152e+00  4.34176602e+00  3.17879543e+00
  2.44849103e+00  1.79484392e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.34585395e-01  5.30134408e-01
  4.17383793e-01  2.44231472e-01 -8.28192971e-16]",6
