eigenvalue_1,eigenvalue_2,diff,span_trees
(12.088428449699327+0j),(11.022136807087469+0j),(1.0662916426118585+0j),185152
(12.101476965425329+0j),(11.022648997892157+0j),(1.0788279675331722+0j),201072
(12.097413005905175+0j),(11.051947061235223+0j),(1.0454659446699512+0j),205296
(12.089376701321864+0j),(11.038212796424455+0j),(1.0511639048974093+0j),201072
(12.0884284496993+0j),(11.022136807087463+0j),(1.0662916426118372+0j),185152
(12.088679609026531+0j),(11.034772955670563+0j),(1.053906653355968+0j),195776
(12.101588405200143+0j),(11.022522430034122+0j),(1.0790659751660208+0j),194144
(12.088428449699311+0j),(11.022136807087472+0j),(1.066291642611839+0j),185152
(12.088428449699327+0j),(11.022136807087469+0j),(1.0662916426118585+0j),185152
(12.109683265302921+0j),(11.03335194621583+0j),(1.0763313190870907+0j),210992
(12.088649246097999+0j),(11.02234995972555+0j),(1.0662992863724483+0j),209680
(12.089376701321846+0j),(11.03821279642443+0j),(1.0511639048974164+0j),201072
(12.10391649618333+0j),(11.024313653374294+0j),(1.0796028428090363+0j),221024
(12.08937670132185+0j),(11.03821279642443+0j),(1.05116390489742+0j),201072
(12.089376701321852+0j),(11.038212796424421+0j),(1.0511639048974306+0j),201072
(12.08937670132184+0j),(11.038212796424434+0j),(1.0511639048974057+0j),201072
(12.088428449699283+0j),(11.022136807087463+0j),(1.0662916426118194+0j),185152
(12.101588405200117+0j),(11.022522430034103+0j),(1.0790659751660137+0j),194144
(12.08867960902654+0j),(11.034772955670569+0j),(1.0539066533559716+0j),195776
(12.088428449699279+0j),(11.022136807087456+0j),(1.066291642611823+0j),185152
(12.097413005905192+0j),(11.051947061235236+0j),(1.0454659446699566+0j),205296
(12.101476965425341+0j),(11.02264899789215+0j),(1.0788279675331918+0j),201072
(12.088428449699308+0j),(11.022136807087461+0j),(1.066291642611846+0j),185152
(12.097413005905207+0j),(11.0519470612352+0j),(1.0454659446700063+0j),205296
(12.101588405200113+0j),(11.022522430034119+0j),(1.0790659751659941+0j),194144
(12.088679609026544+0j),(11.034772955670572+0j),(1.0539066533559716+0j),195776
(12.08842844969928+0j),(11.022136807087456+0j),(1.0662916426118247+0j),185152
(12.10147696542532+0j),(11.022648997892146+0j),(1.078827967533174+0j),201072
(12.088428449699277+0j),(11.022136807087453+0j),(1.0662916426118247+0j),185152
(12.101588405200113+0j),(11.022522430034103+0j),(1.07906597516601+0j),194144
(12.08867960902654+0j),(11.034772955670578+0j),(1.0539066533559627+0j),195776
(12.09741300590519+0j),(11.051947061235197+0j),(1.0454659446699939+0j),205296
(12.101476965425327+0j),(11.022648997892164+0j),(1.0788279675331633+0j),201072
(12.088428449699274+0j),(11.022136807087456+0j),(1.0662916426118176+0j),185152
(12.101476965425311+0j),(11.022648997892153+0j),(1.078827967533158+0j),201072
(12.105432246907235+0j),(11.030031822956634+0j),(1.075400423950601+0j),213712
(12.088428675202685+0j),(11.022145968380453+0j),(1.066282706822232+0j),209136
(12.088859858996186+0j),(11.044969062633085+0j),(1.043890796363101+0j),221408
(12.105512502870754+0j),(11.030534431225375+0j),(1.0749780716453792+0j),189568
(12.101588405200104+0j),(11.022522430034103+0j),(1.0790659751660012+0j),194144
(12.088880548743967+0j),(11.045906926063237+0j),(1.04297362268073+0j),208432
(12.1004750427942+0j),(11.025893139087175+0j),(1.074581903707024+0j),209488
(12.097413005905205+0j),(11.051947061235246+0j),(1.0454659446699583+0j),205296
(12.08867960902654+0j),(11.03477295567057+0j),(1.0539066533559698+0j),195776
