eigenvalue_1,eigenvalue_2,span_trees
(18.225268589879505+0j),(7.549652705475399+0j),40960
(18.225268589879505+0j),(7.549652705475411+0j),40960
(18.20471935411785+0j),(7.464101615137753+0j),32768
(18.20471935411787+0j),(7.464101615137753+0j),32768
(18.219116485111456+0j),(7.464101615137758+0j),49152
(18.204719354117856+0j),(7.464101615137759+0j),32768
(18.225268589879505+0j),(7.549652705475405+0j),40960
(18.204719354117856+0j),(7.464101615137752+0j),32768
(18.225268589879505+0j),(7.549652705475406+0j),40960
(18.225268589879505+0j),(7.549652705475395+0j),40960
(18.20471935411784+0j),(7.758770483143644+0j),49152
(18.205270654604263+0j),(7.564573686281673+0j),57344
(18.204719354117856+0j),(7.464101615137756+0j),32768
(18.225268589879505+0j),(7.549652705475404+0j),40960
(18.225268589879505+0j),(7.549652705475409+0j),40960
(18.225268589879505+0j),(7.549652705475403+0j),40960
(18.204719354117834+0j),(7.75877048314364+0j),49152
(18.225268589879505+0j),(7.549652705475417+0j),40960
(18.225268589879505+0j),(7.5496527054754+0j),40960
(18.204719354117856+0j),(7.464101615137762+0j),32768
(18.225268589879505+0j),(7.549652705475389+0j),40960
(18.204719354117863+0j),(7.4641016151377615+0j),32768
(18.219116485111478+0j),(7.464101615137755+0j),49152
(18.204719354117856+0j),(7.464101615137753+0j),32768
(18.225268589879505+0j),(7.549652705475403+0j),40960
(18.205270654604263+0j),(7.564573686281669+0j),57344
(18.225268589879505+0j),(7.549652705475402+0j),40960
(18.20471935411782+0j),(7.464101615137756+0j),32768
(18.225268589879505+0j),(7.549652705475405+0j),40960
(18.204719354117856+0j),(7.758770483143652+0j),49152
(18.225268589879505+0j),(7.549652705475404+0j),40960
(18.225268589879505+0j),(7.549652705475396+0j),40960
(18.225268589879505+0j),(7.549652705475404+0j),40960
(18.20471935411785+0j),(7.758770483143622+0j),49152
(18.20527065460425+0j),(7.564573686281669+0j),57344
(18.205270654604263+0j),(7.564573686281674+0j),57344
(18.225268589879505+0j),(7.549652705475403+0j),40960
(18.225268589879505+0j),(7.549652705475406+0j),40960
(18.225268589879505+0j),(7.549652705475398+0j),40960
(18.204719354117834+0j),(7.464101615137765+0j),32768
(18.219116485111478+0j),(7.46410161513776+0j),49152
(18.204719354117827+0j),(7.464101615137745+0j),32768
(18.219116485111478+0j),(7.464101615137745+0j),49152
(18.204719354117856+0j),(7.464101615137769+0j),32768
(18.219116485111478+0j),(7.4641016151377535+0j),49152
