added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.145636782468754,6.531038065704123,6.446696896776486,5.889025067843049,4.43787557397807,4.017790036326557,3.5692904236715974,3.186770316954509,2.598158497489354,2.1274710388727387,1.7532567520246245,1.2372483332763289,1.12575704164496,0.933985172968856,-2.161525752686614e-16,344277,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0007003128063868528
"(8, 14, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (8, 14), (9, 13), (10, 14)]",8.146723075257155,6.579404275302737,6.458191129771935,5.889026465740906,4.8760570294828245,4.387163434298804,3.6095365365330525,3.206103690335612,2.598967101908857,2.4367237849241996,2.0217188143957157,1.441882716433062,1.229617348174681,1.118884597440494,-9.062655141330216e-16,854530,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0008985264166766503
"(12, 14, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14), (12, 14)]",8.166553309016711,6.535605415526656,6.515318803733568,5.9046456056024414,4.691717282347393,4.40871881462133,3.5991929696715506,3.2313491001628334,2.8409818555337933,2.322977853659369,2.1056379664805145,1.3480432575518946,1.204463697738906,1.124794068353013,-1.0868470147290644e-15,835726,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0008985264166766503
