id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),vertex_degree_mul_to_edge (new edges),vertex_degree_mul_to_edge (all edges),vertex_degree_add_to_edge (new edges),vertex_degree_add_to_edge (all edges),spanning_edge_betweenness_centrality (new edges),spanning_edge_betweenness_centrality (all edges),number_of_spanning_trees,time
0,1,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 7), (1, 4), (1, 6), (2, 7), (3, 6), (5, 6)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 4, 1), (1, 5, 1)}","[((2, 4), 0.25)]","{(0, 3): 0.2857142857142857, (0, 7): 0.25, (1, 4): 0.2857142857142857, (1, 6): 0.3214285714285714, (2, 7): 0.21428571428571427, (2, 4): 0.25, (3, 6): 0.3214285714285714, (5, 6): 0.25}","[((2, 4), 0.5714285714285714)]","{(0, 3): 0.08163265306122448, (0, 7): 0.08163265306122448, (1, 4): 0.08163265306122448, (1, 6): 0.12244897959183672, (2, 7): 0.08163265306122448, (2, 4): 0.08163265306122448, (3, 6): 0.12244897959183672, (5, 6): 0.06122448979591836}","[((2, 4), 0.08163265306122448)]","{(0, 3): 0.5714285714285714, (0, 7): 0.5714285714285714, (1, 4): 0.5714285714285714, (1, 6): 0.7142857142857142, (2, 7): 0.5714285714285714, (2, 4): 0.5714285714285714, (3, 6): 0.7142857142857142, (5, 6): 0.5714285714285714}","[((2, 4), 0.8571428571428571)]","{(0, 3): 0.8571428571428571, (0, 7): 0.8571428571428571, (1, 4): 0.8571428571428571, (1, 6): 0.8571428571428571, (2, 7): 0.8571428571428571, (2, 4): 0.8571428571428571, (3, 6): 0.8571428571428571, (5, 6): 1.0}",7,0.013622522354125977
0,2,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 7), (1, 4), (1, 6), (2, 7), (3, 6), (5, 6)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 4, 1), (1, 5, 1)}","[((5, 7), 0.19642857142857142), ((2, 4), 0.19642857142857142)]","{(0, 3): 0.17857142857142855, (0, 7): 0.21428571428571427, (1, 4): 0.19642857142857142, (1, 6): 0.26785714285714285, (2, 7): 0.26785714285714285, (2, 4): 0.19642857142857142, (3, 6): 0.21428571428571427, (5, 6): 0.19642857142857142, (5, 7): 0.19642857142857142}","[((5, 7), 0.7142857142857142), ((2, 4), 0.5714285714285714)]","{(0, 3): 0.08163265306122448, (0, 7): 0.12244897959183672, (1, 4): 0.08163265306122448, (1, 6): 0.12244897959183672, (2, 7): 0.12244897959183672, (2, 4): 0.08163265306122448, (3, 6): 0.12244897959183672, (5, 6): 0.12244897959183672, (5, 7): 0.12244897959183672}","[((5, 7), 0.12244897959183672), ((2, 4), 0.08163265306122448)]","{(0, 3): 0.5714285714285714, (0, 7): 0.7142857142857142, (1, 4): 0.5714285714285714, (1, 6): 0.7142857142857142, (2, 7): 0.7142857142857142, (2, 4): 0.5714285714285714, (3, 6): 0.7142857142857142, (5, 6): 0.7142857142857142, (5, 7): 0.7142857142857142}","[((5, 7), 0.7307692307692307), ((2, 4), 0.8076923076923077)]","{(0, 3): 0.7692307692307693, (0, 7): 0.7692307692307693, (1, 4): 0.8076923076923077, (1, 6): 0.8076923076923077, (2, 7): 0.8076923076923077, (2, 4): 0.8076923076923077, (3, 6): 0.7692307692307693, (5, 6): 0.7307692307692307, (5, 7): 0.7307692307692307}",26,0.02677464485168457
0,3,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (0, 7), (1, 4), (1, 6), (2, 7), (3, 6), (5, 6)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 4, 1), (1, 5, 1)}","[((5, 7), 0.18452380952380948), ((3, 4), 0.18452380952380953), ((2, 4), 0.19642857142857142)]","{(0, 3): 0.17857142857142855, (0, 7): 0.14285714285714285, (1, 4): 0.16666666666666663, (1, 6): 0.16666666666666663, (2, 7): 0.18452380952380948, (2, 4): 0.19642857142857142, (3, 6): 0.18452380952380948, (3, 4): 0.18452380952380953, (5, 6): 0.19642857142857142, (5, 7): 0.18452380952380948}","[((5, 7), 0.7142857142857142), ((3, 4), 0.8571428571428571), ((2, 4), 0.7142857142857142)]","{(0, 3): 0.12244897959183672, (0, 7): 0.12244897959183672, (1, 4): 0.12244897959183672, (1, 6): 0.12244897959183672, (2, 7): 0.12244897959183672, (2, 4): 0.12244897959183672, (3, 6): 0.18367346938775508, (3, 4): 0.18367346938775508, (5, 6): 0.12244897959183672, (5, 7): 0.12244897959183672}","[((5, 7), 0.12244897959183672), ((3, 4), 0.18367346938775508), ((2, 4), 0.12244897959183672)]","{(0, 3): 0.7142857142857142, (0, 7): 0.7142857142857142, (1, 4): 0.7142857142857142, (1, 6): 0.7142857142857142, (2, 7): 0.7142857142857142, (2, 4): 0.7142857142857142, (3, 6): 0.8571428571428571, (3, 4): 0.8571428571428571, (5, 6): 0.7142857142857142, (5, 7): 0.7142857142857142}","[((5, 7), 0.7285714285714285), ((3, 4), 0.6285714285714286), ((2, 4), 0.7285714285714285)]","{(0, 3): 0.7142857142857143, (0, 7): 0.7142857142857143, (1, 4): 0.7, (1, 6): 0.7, (2, 7): 0.7285714285714285, (2, 4): 0.7285714285714285, (3, 6): 0.6285714285714286, (3, 4): 0.6285714285714286, (5, 6): 0.7285714285714285, (5, 7): 0.7285714285714285}",70,0.04144644737243652
1,1,greedy,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (1, 8), (2, 8), (3, 7), (4, 6), (4, 5), (5, 7), (7, 8)]","{(2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (6, 8, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 6), 0.19444444444444442)]","{(0, 1): 0.25, (0, 6): 0.19444444444444442, (1, 8): 0.3055555555555555, (2, 8): 0.2222222222222222, (3, 7): 0.2222222222222222, (4, 6): 0.19444444444444442, (4, 5): 0.25, (5, 7): 0.3055555555555555, (7, 8): 0.3611111111111111}","[((0, 6), 0.5)]","{(0, 1): 0.0625, (0, 6): 0.0625, (1, 8): 0.09375, (2, 8): 0.046875, (3, 7): 0.046875, (4, 6): 0.0625, (4, 5): 0.0625, (5, 7): 0.09375, (7, 8): 0.140625}","[((0, 6), 0.0625)]","{(0, 1): 0.5, (0, 6): 0.5, (1, 8): 0.625, (2, 8): 0.5, (3, 7): 0.5, (4, 6): 0.5, (4, 5): 0.5, (5, 7): 0.625, (7, 8): 0.75}","[((0, 6), 0.8571428571428571)]","{(0, 1): 0.8571428571428571, (0, 6): 0.8571428571428571, (1, 8): 0.8571428571428571, (2, 8): 1.0, (3, 7): 1.0, (4, 6): 0.8571428571428571, (4, 5): 0.8571428571428571, (5, 7): 0.8571428571428571, (7, 8): 0.8571428571428571}",7,0.018540382385253906
1,2,greedy,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (1, 8), (2, 8), (3, 7), (4, 6), (4, 5), (5, 7), (7, 8)]","{(2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (6, 8, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 6), 0.19444444444444442), ((2, 3), 0.1111111111111111)]","{(0, 1): 0.25, (0, 6): 0.19444444444444442, (1, 8): 0.3055555555555555, (2, 8): 0.19444444444444442, (2, 3): 0.1111111111111111, (3, 7): 0.19444444444444442, (4, 6): 0.19444444444444442, (4, 5): 0.25, (5, 7): 0.3055555555555555, (7, 8): 0.25}","[((0, 6), 0.5), ((2, 3), 0.5)]","{(0, 1): 0.0625, (0, 6): 0.0625, (1, 8): 0.09375, (2, 8): 0.09375, (2, 3): 0.0625, (3, 7): 0.09375, (4, 6): 0.0625, (4, 5): 0.0625, (5, 7): 0.09375, (7, 8): 0.140625}","[((0, 6), 0.0625), ((2, 3), 0.0625)]","{(0, 1): 0.5, (0, 6): 0.5, (1, 8): 0.625, (2, 8): 0.625, (2, 3): 0.5, (3, 7): 0.625, (4, 6): 0.5, (4, 5): 0.5, (5, 7): 0.625, (7, 8): 0.75}","[((0, 6), 0.8518518518518519), ((2, 3), 0.7407407407407407)]","{(0, 1): 0.8518518518518519, (0, 6): 0.8518518518518519, (1, 8): 0.8518518518518519, (2, 8): 0.7407407407407407, (2, 3): 0.7407407407407407, (3, 7): 0.7407407407407407, (4, 6): 0.8518518518518519, (4, 5): 0.8518518518518519, (5, 7): 0.8518518518518519, (7, 8): 0.6666666666666666}",27,0.03624534606933594
1,3,greedy,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (1, 8), (2, 8), (3, 7), (4, 6), (4, 5), (5, 7), (7, 8)]","{(2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 8, 1), (0, 6, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (6, 8, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 6), 0.19444444444444442), ((2, 6), 0.22222222222222218), ((2, 3), 0.1574074074074074)]","{(0, 1): 0.1388888888888889, (0, 6): 0.19444444444444442, (1, 8): 0.19444444444444442, (2, 8): 0.15740740740740738, (2, 3): 0.1574074074074074, (2, 6): 0.22222222222222218, (3, 7): 0.1296296296296296, (4, 6): 0.2129629629629629, (4, 5): 0.1574074074074074, (5, 7): 0.19444444444444442, (7, 8): 0.21296296296296294}","[((0, 6), 0.625), ((2, 6), 0.75), ((2, 3), 0.625)]","{(0, 1): 0.0625, (0, 6): 0.09375, (1, 8): 0.09375, (2, 8): 0.140625, (2, 3): 0.09375, (2, 6): 0.140625, (3, 7): 0.09375, (4, 6): 0.09375, (4, 5): 0.0625, (5, 7): 0.09375, (7, 8): 0.140625}","[((0, 6), 0.09375), ((2, 6), 0.140625), ((2, 3), 0.09375)]","{(0, 1): 0.5, (0, 6): 0.625, (1, 8): 0.625, (2, 8): 0.75, (2, 3): 0.625, (2, 6): 0.75, (3, 7): 0.625, (4, 6): 0.625, (4, 5): 0.5, (5, 7): 0.625, (7, 8): 0.75}","[((0, 6), 0.7674418604651163), ((2, 6), 0.686046511627907), ((2, 3), 0.6976744186046512)]","{(0, 1): 0.7674418604651163, (0, 6): 0.7674418604651163, (1, 8): 0.7674418604651163, (2, 8): 0.6162790697674418, (2, 3): 0.6976744186046512, (2, 6): 0.686046511627907, (3, 7): 0.6976744186046512, (4, 6): 0.7790697674418605, (4, 5): 0.7790697674418605, (5, 7): 0.7790697674418605, (7, 8): 0.6627906976744186}",86,0.05914926528930664
2,1,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (1, 6), (2, 5), (3, 6), (4, 6), (5, 7), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (3, 5, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 1), 0.26785714285714285)]","{(0, 2): 0.19642857142857142, (0, 1): 0.26785714285714285, (1, 6): 0.33928571428571425, (2, 5): 0.19642857142857142, (3, 6): 0.25, (4, 6): 0.25, (5, 7): 0.26785714285714285, (6, 7): 0.33928571428571425}","[((0, 1), 0.5714285714285714)]","{(0, 2): 0.08163265306122448, (0, 1): 0.08163265306122448, (1, 6): 0.16326530612244897, (2, 5): 0.08163265306122448, (3, 6): 0.08163265306122448, (4, 6): 0.08163265306122448, (5, 7): 0.08163265306122448, (6, 7): 0.16326530612244897}","[((0, 1), 0.08163265306122448)]","{(0, 2): 0.5714285714285714, (0, 1): 0.5714285714285714, (1, 6): 0.8571428571428571, (2, 5): 0.5714285714285714, (3, 6): 0.7142857142857142, (4, 6): 0.7142857142857142, (5, 7): 0.5714285714285714, (6, 7): 0.8571428571428571}","[((0, 1), 0.8333333333333334)]","{(0, 2): 0.8333333333333334, (0, 1): 0.8333333333333334, (1, 6): 0.8333333333333334, (2, 5): 0.8333333333333334, (3, 6): 1.0, (4, 6): 1.0, (5, 7): 0.8333333333333334, (6, 7): 0.8333333333333334}",6,0.013723134994506836
2,2,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (1, 6), (2, 5), (3, 6), (4, 6), (5, 7), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (3, 5, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 1), 0.17857142857142855), ((2, 4), 0.17857142857142855)]","{(0, 2): 0.17857142857142855, (0, 1): 0.17857142857142855, (1, 6): 0.25, (2, 5): 0.17857142857142855, (2, 4): 0.17857142857142855, (3, 6): 0.25, (4, 6): 0.21428571428571427, (5, 7): 0.17857142857142855, (6, 7): 0.25}","[((0, 1), 0.5714285714285714), ((2, 4), 0.7142857142857142)]","{(0, 2): 0.12244897959183672, (0, 1): 0.08163265306122448, (1, 6): 0.16326530612244897, (2, 5): 0.12244897959183672, (2, 4): 0.12244897959183672, (3, 6): 0.08163265306122448, (4, 6): 0.16326530612244897, (5, 7): 0.08163265306122448, (6, 7): 0.16326530612244897}","[((0, 1), 0.08163265306122448), ((2, 4), 0.12244897959183672)]","{(0, 2): 0.7142857142857142, (0, 1): 0.5714285714285714, (1, 6): 0.8571428571428571, (2, 5): 0.7142857142857142, (2, 4): 0.7142857142857142, (3, 6): 0.7142857142857142, (4, 6): 0.8571428571428571, (5, 7): 0.5714285714285714, (6, 7): 0.8571428571428571}","[((0, 1), 0.7619047619047619), ((2, 4), 0.7142857142857143)]","{(0, 2): 0.7619047619047619, (0, 1): 0.7619047619047619, (1, 6): 0.7619047619047619, (2, 5): 0.7619047619047619, (2, 4): 0.7142857142857143, (3, 6): 1.0, (4, 6): 0.7142857142857143, (5, 7): 0.7619047619047619, (6, 7): 0.7619047619047619}",21,0.02705240249633789
2,3,greedy,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 2), (1, 6), (2, 5), (3, 6), (4, 6), (5, 7), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (3, 5, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 1), 0.1369047619047619), ((0, 3), 0.1369047619047619), ((2, 4), 0.14285714285714285)]","{(0, 2): 0.22619047619047616, (0, 1): 0.1369047619047619, (0, 3): 0.1369047619047619, (1, 6): 0.1726190476190476, (2, 5): 0.19047619047619047, (2, 4): 0.14285714285714285, (3, 6): 0.1726190476190476, (4, 6): 0.17857142857142855, (5, 7): 0.15476190476190474, (6, 7): 0.23809523809523805}","[((0, 1), 0.7142857142857142), ((0, 3), 0.7142857142857142), ((2, 4), 0.7142857142857142)]","{(0, 2): 0.18367346938775508, (0, 1): 0.12244897959183672, (0, 3): 0.12244897959183672, (1, 6): 0.16326530612244897, (2, 5): 0.12244897959183672, (2, 4): 0.12244897959183672, (3, 6): 0.16326530612244897, (4, 6): 0.16326530612244897, (5, 7): 0.08163265306122448, (6, 7): 0.16326530612244897}","[((0, 1), 0.12244897959183672), ((0, 3), 0.12244897959183672), ((2, 4), 0.12244897959183672)]","{(0, 2): 0.8571428571428571, (0, 1): 0.7142857142857142, (0, 3): 0.7142857142857142, (1, 6): 0.8571428571428571, (2, 5): 0.7142857142857142, (2, 4): 0.7142857142857142, (3, 6): 0.8571428571428571, (4, 6): 0.8571428571428571, (5, 7): 0.5714285714285714, (6, 7): 0.8571428571428571}","[((0, 1), 0.671875), ((0, 3), 0.671875), ((2, 4), 0.6875)]","{(0, 2): 0.6875, (0, 1): 0.671875, (0, 3): 0.671875, (1, 6): 0.671875, (2, 5): 0.75, (2, 4): 0.6875, (3, 6): 0.671875, (4, 6): 0.6875, (5, 7): 0.75, (6, 7): 0.75}",64,0.041786909103393555
