added,edges,eigenvalues,span_trees
"(6, 9, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 9)]","[ 7.24252211e+00  4.70494380e+00  4.24997032e+00  2.89487868e+00
  2.52465809e+00  2.26549034e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.27956250e-01
  3.57725746e-01  2.31854669e-01 -6.60904059e-16]",7
"(6, 7, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 7)]","[ 7.26852237e+00  4.56934496e+00  4.28791230e+00  3.00000000e+00
  2.57409967e+00  2.18547656e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.02974868e-01
  3.13709577e-01  1.97959698e-01 -1.24819973e-16]",6
"(6, 10, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 10)]","[ 7.24252211e+00  4.70494380e+00  4.24997032e+00  2.89487868e+00
  2.52465809e+00  2.26549034e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.27956250e-01
  3.57725746e-01  2.31854669e-01 -1.60009738e-16]",7
"(6, 8, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 8)]","[7.23883489e+00 4.54196785e+00 4.18142564e+00 3.00000000e+00
 2.68181524e+00 2.43361885e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.27693040e-01
 2.82502129e-01 1.12142349e-01 2.42365399e-16]",3
"(6, 13, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 13)]","[7.23986706e+00 4.54212162e+00 4.35484778e+00 3.19334538e+00
 2.67645403e+00 1.72004713e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.84039770e-01
 4.12536086e-01 1.76741137e-01 2.24843278e-17]",7
"(6, 14, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 14)]","[7.26852237e+00+0.00000000e+00j 4.56934496e+00+0.00000000e+00j
 4.28791230e+00+0.00000000e+00j 3.00000000e+00+0.00000000e+00j
 2.57409967e+00+0.00000000e+00j 2.18547656e+00+0.00000000e+00j
 1.00000000e+00+0.00000000e+00j 1.00000000e+00+0.00000000e+00j
 1.00000000e+00+1.24126708e-16j 1.00000000e+00-1.24126708e-16j
 1.00000000e+00+0.00000000e+00j 6.02974868e-01+0.00000000e+00j
 3.13709577e-01+0.00000000e+00j 1.97959698e-01+0.00000000e+00j
 1.10626851e-15+0.00000000e+00j]",6
"(6, 11, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 11)]","[7.24252211e+00 4.70494380e+00 4.24997032e+00 2.89487868e+00
 2.52465809e+00 2.26549034e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.27956250e-01
 3.57725746e-01 2.31854669e-01 2.48957918e-16]",7
"(6, 12, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (6, 12)]","[ 7.26852237e+00  4.56934496e+00  4.28791230e+00  3.00000000e+00
  2.57409967e+00  2.18547656e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.02974868e-01
  3.13709577e-01  1.97959698e-01 -2.52781314e-16]",6
"(7, 12, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 12)]","[7.23883489e+00 4.54196785e+00 4.18142564e+00 3.00000000e+00
 2.68181524e+00 2.43361885e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.27693040e-01
 2.82502129e-01 1.12142349e-01 2.05078030e-16]",3
"(7, 11, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 11)]","[7.29204924e+00 4.59642563e+00 4.18155602e+00 2.79127581e+00
 2.67862090e+00 2.39866530e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.00788801e-01
 3.45680412e-01 1.14937896e-01 2.96574028e-16]",4
"(7, 14, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 14)]","[ 7.23883489e+00  4.54196785e+00  4.18142564e+00  3.00000000e+00
  2.68181524e+00  2.43361885e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.27693040e-01
  2.82502129e-01  1.12142349e-01 -3.22604005e-16]",3
"(7, 13, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 13)]","[ 7.28014589e+00  4.56599447e+00  4.18527738e+00  3.20693311e+00
  2.58047825e+00  2.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  7.66313239e-01
  3.02418846e-01  1.12438815e-01 -3.77674702e-16]",4
"(7, 8, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 8)]","[ 7.26852237e+00  4.56934496e+00  4.28791230e+00  3.00000000e+00
  2.57409967e+00  2.18547656e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.02974868e-01
  3.13709577e-01  1.97959698e-01 -3.64057495e-16]",6
"(7, 10, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 10)]","[ 7.29204924e+00  4.59642563e+00  4.18155602e+00  2.79127581e+00
  2.67862090e+00  2.39866530e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.00788801e-01
  3.45680412e-01  1.14937896e-01 -7.54955082e-16]",4
"(7, 9, 1)","[(0, 1), (0, 2), (1, 3), (1, 5), (1, 7), (1, 12), (1, 14), (2, 4), (3, 9), (3, 10), (3, 11), (4, 6), (4, 8), (5, 13), (7, 9)]","[ 7.29204924e+00+0.00000000e+00j  4.59642563e+00+0.00000000e+00j
  4.18155602e+00+0.00000000e+00j  2.79127581e+00+0.00000000e+00j
  2.67862090e+00+0.00000000e+00j  2.39866530e+00+0.00000000e+00j
  1.00000000e+00+0.00000000e+00j  1.00000000e+00+1.23621222e-16j
  1.00000000e+00-1.23621222e-16j  1.00000000e+00+0.00000000e+00j
  1.00000000e+00+0.00000000e+00j  6.00788801e-01+0.00000000e+00j
  3.45680412e-01+0.00000000e+00j  1.14937896e-01+0.00000000e+00j
 -5.13573031e-16+0.00000000e+00j]",4
