id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),number_of_spanning_trees,time
0,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((0, 5), 0.16666666666666666)]","{(0, 4): 0.16666666666666666, (0, 5): 0.16666666666666666, (1, 4): 0.25, (1, 8): 0.3333333333333333, (2, 7): 0.2222222222222222, (2, 8): 0.38888888888888884, (3, 8): 0.2222222222222222, (5, 6): 0.25, (6, 8): 0.3333333333333333}",6,0.08848190307617188
0,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((5, 7), 0.16666666666666666), ((0, 5), 0.2222222222222222)]","{(0, 4): 0.16666666666666666, (0, 5): 0.2222222222222222, (1, 4): 0.19444444444444442, (1, 8): 0.2777777777777778, (2, 7): 0.16666666666666666, (2, 8): 0.2222222222222222, (3, 8): 0.2222222222222222, (5, 6): 0.19444444444444442, (5, 7): 0.16666666666666666, (6, 8): 0.2222222222222222}",26,0.2371976375579834
0,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((0, 3), 0.1388888888888889), ((5, 7), 0.16666666666666666), ((0, 5), 0.2222222222222222)]","{(0, 4): 0.16666666666666666, (0, 5): 0.2222222222222222, (0, 3): 0.1388888888888889, (1, 4): 0.1388888888888889, (1, 8): 0.2222222222222222, (2, 7): 0.1388888888888889, (2, 8): 0.2222222222222222, (3, 8): 0.16666666666666666, (5, 6): 0.1388888888888889, (5, 7): 0.16666666666666666, (6, 8): 0.16666666666666666}",85,0.43453049659729004
1,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((1, 3), 0.2857142857142857)]","{(0, 4): 0.2857142857142857, (0, 2): 0.2857142857142857, (1, 7): 0.2857142857142857, (1, 3): 0.2857142857142857, (2, 5): 0.2857142857142857, (3, 6): 0.2857142857142857, (4, 6): 0.2857142857142857, (5, 7): 0.2857142857142857}",8,0.04871940612792969
1,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 1), 0.25), ((1, 3), 0.26785714285714285)]","{(0, 4): 0.26785714285714285, (0, 2): 0.26785714285714285, (0, 1): 0.25, (1, 7): 0.26785714285714285, (1, 3): 0.26785714285714285, (2, 5): 0.1607142857142857, (3, 6): 0.1607142857142857, (4, 6): 0.1607142857142857, (5, 7): 0.1607142857142857}",24,0.45008254051208496
1,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 1), 0.21428571428571427), ((1, 3), 0.1607142857142857), ((5, 6), 0.21428571428571427)]","{(0, 4): 0.1607142857142857, (0, 2): 0.1607142857142857, (0, 1): 0.21428571428571427, (1, 7): 0.1607142857142857, (1, 3): 0.1607142857142857, (2, 5): 0.1607142857142857, (3, 6): 0.1607142857142857, (4, 6): 0.1607142857142857, (5, 7): 0.1607142857142857, (5, 6): 0.21428571428571427}",72,0.4514331817626953
2,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((5, 7), 0.23214285714285712)]","{(0, 5): 0.19642857142857142, (0, 4): 0.23214285714285712, (1, 2): 0.25, (1, 4): 0.30357142857142855, (1, 6): 0.375, (3, 6): 0.25, (5, 7): 0.23214285714285712, (6, 7): 0.30357142857142855}",6,0.0478515625
2,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((5, 7), 0.23214285714285712), ((2, 3), 0.13095238095238093)]","{(0, 5): 0.18452380952380948, (0, 4): 0.23214285714285712, (1, 2): 0.21428571428571425, (1, 4): 0.30357142857142855, (1, 6): 0.25595238095238093, (2, 3): 0.13095238095238093, (3, 6): 0.21428571428571427, (5, 7): 0.23214285714285712, (6, 7): 0.30357142857142855}",23,0.2632172107696533
2,3,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((0, 3), 0.21428571428571427), ((5, 7), 0.14285714285714285), ((2, 3), 0.1607142857142857)]","{(0, 5): 0.21428571428571427, (0, 4): 0.17857142857142855, (0, 3): 0.21428571428571427, (1, 2): 0.125, (1, 4): 0.17857142857142855, (1, 6): 0.19642857142857142, (2, 3): 0.1607142857142857, (3, 6): 0.1607142857142857, (5, 7): 0.14285714285714285, (6, 7): 0.21428571428571427}",67,0.3839683532714844
3,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 7), (1, 5), (1, 4), (2, 4), (3, 6), (3, 7), (4, 7)]","{(0, 1, 1), (2, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (0, 2, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (1, 6, 1), (3, 5, 1), (0, 4, 1), (5, 6, 1)}","[((5, 6), 0.19642857142857142)]","{(0, 7): 0.25, (1, 5): 0.23214285714285712, (1, 4): 0.30357142857142855, (2, 4): 0.25, (3, 6): 0.23214285714285712, (3, 7): 0.30357142857142855, (4, 7): 0.375, (5, 6): 0.19642857142857142}",6,0.0679464340209961
