added,edges,eigenvalues,span_trees
"(0, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 13), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44518459e+00 7.09847471e+00 6.31205475e+00 5.67312786e+00
 4.96821583e+00 4.15876812e+00 3.88057855e+00 2.98781658e+00
 2.50810444e+00 2.32406097e+00 1.87256602e+00 1.71741564e+00
 1.17356606e+00 8.80065872e-01 1.25494439e-15]",663774
"(1, 3, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 3), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44293634e+00 7.15565486e+00 6.69257887e+00 5.62786208e+00
 4.96953540e+00 4.08941630e+00 3.66714695e+00 3.46451446e+00
 2.36410521e+00 2.00000000e+00 1.93775341e+00 1.79716576e+00
 9.22426364e-01 8.68904009e-01 5.16278015e-16]",516920
"(1, 6, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44061244e+00 7.19786651e+00 7.01882466e+00 5.41543371e+00
 4.98388961e+00 4.04666182e+00 3.77882204e+00 3.28835312e+00
 2.39927936e+00 2.00000000e+00 1.87545477e+00 1.79664310e+00
 9.03654745e-01 8.54504112e-01 7.75113296e-16]",481704
"(1, 11, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 11), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.43317664e+00  7.02407819e+00  6.34283740e+00  5.23103821e+00
  5.16445721e+00  4.24659081e+00  4.01017250e+00  3.41404647e+00
  2.58205520e+00  2.10887397e+00  2.00000000e+00  1.68828134e+00
  9.12999281e-01  8.41392791e-01 -6.85295784e-16]",555672
"(1, 14, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 14), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.50266286e+00  7.02262547e+00  6.30789458e+00  5.32448129e+00
  5.13635596e+00  4.11215083e+00  3.89976416e+00  3.43884028e+00
  2.60550709e+00  2.19838134e+00  1.87254380e+00  1.78439858e+00
  9.05264377e-01  8.89129403e-01 -1.10498108e-15]",583390
"(1, 4, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.45032386e+00 7.08310609e+00 6.35918710e+00 5.19529279e+00
 5.07666964e+00 4.41032782e+00 4.00486957e+00 3.15793732e+00
 2.70252202e+00 2.00000000e+00 1.88977879e+00 1.71150484e+00
 1.11006861e+00 8.48411554e-01 2.36671610e-15]",614616
"(1, 9, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.46542538e+00 7.04640565e+00 6.31061623e+00 5.26716709e+00
 5.09101055e+00 4.87951904e+00 3.63440854e+00 3.46247652e+00
 2.49459945e+00 2.00000000e+00 1.87815172e+00 1.68707252e+00
 9.44249158e-01 8.38898149e-01 8.99992460e-16]",517448
"(1, 12, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 12), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.52253597e+00 7.03617908e+00 6.32905666e+00 5.49870071e+00
 5.05738749e+00 4.15846542e+00 3.64382971e+00 3.24124429e+00
 2.69719747e+00 2.14920313e+00 2.00000000e+00 1.81881482e+00
 9.69968121e-01 8.77417134e-01 4.28368122e-15]",620176
"(1, 5, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 5), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.45607234e+00 7.19014542e+00 6.57820774e+00 5.28364905e+00
 5.01061302e+00 4.44841757e+00 4.04372116e+00 3.27809041e+00
 2.36233217e+00 2.00000000e+00 1.87497346e+00 1.73204427e+00
 9.00295541e-01 8.41437855e-01 5.00204301e-16]",483824
"(1, 10, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 10), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.50483294e+00 7.07209197e+00 6.32386158e+00 5.30822719e+00
 5.13413475e+00 4.72816018e+00 3.59994968e+00 3.34088422e+00
 2.54082078e+00 2.00000000e+00 1.87266816e+00 1.71842326e+00
 1.00195245e+00 8.53992844e-01 2.21311577e-17]",549880
